prefix,missing_group,rows,path,sample
rotation_repair,snap_missing,2656,D:\LHJ\PythonWS\MarketScraper\AsharesScraperV2\audit_reports\rotation_repair_snap_missing_detail_20260516_012010.csv,"2000-01-04,2000-01-05,2000-01-06,2000-01-07,2000-01-10,2000-01-11,2000-01-12,2000-01-13,2000-01-14,2000-01-17,2000-01-18,2000-01-19,2000-01-20,2000-01-21,2000-01-24,2000-01-25,2000-01-26,2000-01-27,2000-01-28,2000-02-14"
rotation_repair,snap_missing,2656,D:\LHJ\PythonWS\MarketScraper\AsharesScraperV2\reports\v8_dataset_audit\rotation_repair_snap_missing_detail_20260516_012010.csv,"2000-01-04,2000-01-05,2000-01-06,2000-01-07,2000-01-10,2000-01-11,2000-01-12,2000-01-13,2000-01-14,2000-01-17,2000-01-18,2000-01-19,2000-01-20,2000-01-21,2000-01-24,2000-01-25,2000-01-26,2000-01-27,2000-01-28,2000-02-14"
