asof_date,src,v8_local_industry_id,v8_local_industry_name,v8_parent_id,v8_parent_name,v7_sw_l1_code,v7_sw_l1_name,v7_parent_code,v7_parent_name,mapping_type,manual_review_flag,shared_symbol_count,v8_symbol_count,v7_symbol_count,jaccard_score,coverage_vs_v8,coverage_vs_v7,decision_reason
2026-05-15,SW2014,850111.SI,850111.SI,,,801010.SI,农林牧渔,0,,ONE_TO_ONE,0,8,10,126,0.0625,0.8,0.063492,usable_parent_match
2026-05-15,SW2014,850112.SI,850112.SI,,,801010.SI,农林牧渔,0,,MANUAL_REVIEW,1,7,12,126,0.053435,0.583333,0.055556,low_overlap
2026-05-15,SW2014,850113.SI,850113.SI,,,801010.SI,农林牧渔,0,,ONE_TO_ONE,0,8,9,126,0.062992,0.888889,0.063492,high_v8_coverage_single_parent
2026-05-15,SW2014,850121.SI,850121.SI,,,801010.SI,农林牧渔,0,,ONE_TO_ONE,0,2,2,126,0.015873,1.0,0.015873,high_v8_coverage_single_parent
2026-05-15,SW2014,850122.SI,850122.SI,,,801010.SI,农林牧渔,0,,ONE_TO_ONE,0,7,11,126,0.053846,0.636364,0.055556,usable_parent_match
2026-05-15,SW2014,850131.SI,850131.SI,,,801010.SI,农林牧渔,0,,MANUAL_REVIEW,1,4,7,126,0.031008,0.571429,0.031746,low_overlap
2026-05-15,SW2014,850135.SI,850135.SI,,,801030.SI,化工,0,,ONE_TO_ONE,0,22,22,455,0.048352,1.0,0.048352,high_v8_coverage_single_parent
2026-05-15,SW2014,850136.SI,850136.SI,,,801030.SI,化工,0,,ONE_TO_ONE,0,11,11,455,0.024176,1.0,0.024176,high_v8_coverage_single_parent
2026-05-15,SW2014,850142.SI,850142.SI,,,801010.SI,农林牧渔,0,,ONE_TO_ONE,0,10,10,126,0.079365,1.0,0.079365,high_v8_coverage_single_parent
2026-05-15,SW2014,850151.SI,850151.SI,,,801010.SI,农林牧渔,0,,ONE_TO_ONE,0,6,9,126,0.046512,0.666667,0.047619,usable_parent_match
2026-05-15,SW2014,850152.SI,850152.SI,,,801010.SI,农林牧渔,0,,MANUAL_REVIEW,1,8,15,126,0.06015,0.533333,0.063492,low_overlap
2026-05-15,SW2014,850154.SI,850154.SI,,,801010.SI,农林牧渔,0,,ONE_TO_ONE,0,12,19,126,0.090226,0.631579,0.095238,usable_parent_match
2026-05-15,SW2014,850172.SI,850172.SI,,,801010.SI,农林牧渔,0,,ONE_TO_ONE,0,12,12,126,0.095238,1.0,0.095238,high_v8_coverage_single_parent
2026-05-15,SW2014,850173.SI,850173.SI,,,801010.SI,农林牧渔,0,,ONE_TO_ONE,0,8,8,126,0.063492,1.0,0.063492,high_v8_coverage_single_parent
2026-05-15,SW2014,850181.SI,850181.SI,,,801010.SI,农林牧渔,0,,ONE_TO_ONE,0,12,16,126,0.092308,0.75,0.095238,usable_parent_match
2026-05-15,SW2014,850232.SI,850232.SI,,,801880.SI,汽车,0,,ONE_TO_ONE,0,8,11,325,0.02439,0.727273,0.024615,usable_parent_match
2026-05-15,SW2014,850233.SI,850233.SI,,,801880.SI,汽车,0,,ONE_TO_ONE,0,7,7,325,0.021538,1.0,0.021538,high_v8_coverage_single_parent
2026-05-15,SW2014,850321.SI,850321.SI,,,801760.SI,传媒,0,,MANUAL_REVIEW,1,2,9,156,0.01227,0.222222,0.012821,low_overlap
2026-05-15,SW2014,850322.SI,850322.SI,,,801030.SI,化工,0,,ONE_TO_ONE,0,23,30,455,0.049784,0.766667,0.050549,usable_parent_match
2026-05-15,SW2014,850323.SI,850323.SI,,,801030.SI,化工,0,,ONE_TO_ONE,0,14,20,455,0.030369,0.7,0.030769,usable_parent_match
2026-05-15,SW2014,850324.SI,850324.SI,,,801030.SI,化工,0,,ONE_TO_ONE,0,20,24,455,0.043573,0.833333,0.043956,usable_parent_match
2026-05-15,SW2014,850325.SI,850325.SI,,,801030.SI,化工,0,,ONE_TO_ONE,0,9,9,455,0.01978,1.0,0.01978,high_v8_coverage_single_parent
2026-05-15,SW2014,850326.SI,850326.SI,,,801030.SI,化工,0,,ONE_TO_ONE,0,6,6,455,0.013187,1.0,0.013187,high_v8_coverage_single_parent
2026-05-15,SW2014,850331.SI,850331.SI,,,801030.SI,化工,0,,ONE_TO_ONE,0,16,23,455,0.034632,0.695652,0.035165,usable_parent_match
2026-05-15,SW2014,850332.SI,850332.SI,,,801030.SI,化工,0,,ONE_TO_ONE,0,11,12,455,0.024123,0.916667,0.024176,high_v8_coverage_single_parent
2026-05-15,SW2014,850333.SI,850333.SI,,,801030.SI,化工,0,,ONE_TO_ONE,0,32,44,455,0.068522,0.727273,0.07033,usable_parent_match
2026-05-15,SW2014,850335.SI,850335.SI,,,801030.SI,化工,0,,ONE_TO_ONE,0,20,33,455,0.042735,0.606061,0.043956,usable_parent_match
2026-05-15,SW2014,850336.SI,850336.SI,,,801030.SI,化工,0,,MANUAL_REVIEW,1,4,7,455,0.008734,0.571429,0.008791,low_overlap
2026-05-15,SW2014,850337.SI,850337.SI,,,801030.SI,化工,0,,ONE_TO_ONE,0,14,16,455,0.030635,0.875,0.030769,high_v8_coverage_single_parent
2026-05-15,SW2014,850338.SI,850338.SI,,,801030.SI,化工,0,,ONE_TO_ONE,0,17,18,455,0.037281,0.944444,0.037363,high_v8_coverage_single_parent
2026-05-15,SW2014,850339.SI,850339.SI,,,801030.SI,化工,0,,ONE_TO_ONE,0,117,165,455,0.232604,0.709091,0.257143,usable_parent_match
