market_regime,total_days,total_rows,avg_tc_ratio,avg_dw_ratio,avg_confidence,avg_group_count
DEFENSIVE_SHIFT,1,67,0.0,100.0,0.5307,2.0448
RANGE_CHOP,319,41812,0.0646,78.3651,0.5387,2.0783
