trade_date,total_mainlines,tc_mainlines,dw_mainlines,lb_mainlines,none_mainlines,avg_confidence,max_confidence,avg_group_count,avg_diffusion,avg_leader_island,avg_rotation_out,avg_concentration,tc_ratio,dw_ratio,lb_ratio,danger_ratio,market_collapse_risk
2025-01-02,152,0,125,27,0,0.4773684210526316,0.52,1.8223684210526316,0.04489970490789474,0.42098500040723685,0.2124453934131579,0.10712667197368421,0.0,82.24,17.76,82.24,59.78
2025-01-03,153,0,150,3,0,0.6643137254901961,0.76,2.6013071895424837,0.032430427189542484,0.42103928074183,0.5123340433333333,0.09485227784313725,0.0,98.04,1.96,98.04,75.31
2025-01-06,153,0,111,42,0,0.4776470588235294,0.76,1.8235294117647058,0.07233940781699347,0.4111854563326797,0.3294109568026144,0.10599549901960784,0.0,72.55,27.45,72.55,54.95
2025-01-07,146,0,106,40,0,0.5134246575342466,0.76,1.9726027397260273,0.11525569581849317,0.4008902660731164,0.3936192334481735,0.11572914616438355,0.0,72.6,27.4,72.6,56.43
2025-01-08,147,0,135,12,0,0.6310204081632653,0.76,2.4625850340136055,0.062101112595238095,0.41978123808146256,0.5536398885648526,0.11584193863945577,0.0,91.84,8.16,91.84,70.85
2025-01-09,149,0,124,25,0,0.534496644295302,0.76,2.0604026845637584,0.07597787233221476,0.41650487246895973,0.41894414079082776,0.12049443758389261,0.0,83.22,16.78,83.22,62.6
2025-01-10,150,0,144,6,0,0.656,0.76,2.566666666666667,0.033310447466666664,0.42908938674,0.5695084038488889,0.11489135560000001,0.0,96.0,4.0,96.0,73.95
2025-01-13,158,0,111,47,0,0.4653164556962026,0.76,1.7721518987341771,0.09414055014873417,0.4078111991030063,0.3160796027170886,0.11362084221518988,0.0,70.25,29.75,70.25,53.29
2025-01-14,150,0,98,52,0,0.47679999999999995,0.76,1.82,0.12798273720666667,0.3883401523876666,0.33401536829644446,0.0998206898,0.0,65.33,34.67,65.33,51.3
2025-01-15,142,0,140,2,0,0.6653521126760563,0.76,2.6056338028169015,0.06095136565492958,0.41392506197499995,0.6111011562070422,0.10606982274647887,0.0,98.59,1.41,98.59,75.63
2025-01-16,144,0,91,53,0,0.46166666666666667,0.76,1.7569444444444444,0.10762615645833334,0.3975831044722222,0.38887675275,0.10722693409722223,0.0,63.19,36.81,63.19,49.61
2025-01-17,151,0,131,20,0,0.567682119205298,0.76,2.198675496688742,0.08510270513245033,0.4081834752897351,0.49676452956953643,0.1109286642384106,0.0,86.75,13.25,86.75,65.72
2025-01-20,140,0,82,58,0,0.4702857142857143,0.76,1.792857142857143,0.11073408820000001,0.39435224232285715,0.3749636323504762,0.101287369,0.0,58.57,41.43,58.57,47.66
2025-01-21,141,0,132,9,0,0.6136170212765957,0.76,2.3900709219858154,0.06444253080496455,0.41338101677499994,0.5519450707042554,0.10767852262411347,0.0,93.62,6.38,93.62,71.03
2025-01-22,143,0,129,14,0,0.5837762237762238,0.76,2.265734265734266,0.039438464979020975,0.42519874015944054,0.5287774585659675,0.11293822867132867,0.0,90.21,9.79,90.21,68.11
2025-01-23,146,0,110,36,0,0.5019178082191781,0.76,1.9246575342465753,0.07673037225684931,0.40522265131284246,0.4009681998682648,0.09918552684931507,0.0,75.34,24.66,75.34,57.33
2025-01-24,146,0,91,55,0,0.46739726027397266,0.76,1.7808219178082192,0.1172682831609589,0.3910231790443493,0.3786273430938356,0.09870979315068493,0.0,62.33,37.67,62.33,49.42
2025-01-27,145,0,132,13,0,0.6027586206896552,0.76,2.3448275862068964,0.07089080838620689,0.40389215007862067,0.5443800997388506,0.09177119213793104,0.0,91.03,8.97,91.03,69.29
2025-02-05,143,0,97,46,0,0.49314685314685314,0.76,1.8881118881118881,0.10195351147202798,0.3974349903729021,0.4082790315750583,0.10263771363636363,0.0,67.83,32.17,67.83,53.22
2025-02-06,139,0,86,53,0,0.4474820143884892,0.76,1.6978417266187051,0.12653838479856117,0.3892143457917266,0.35912487775011986,0.10316397258992806,0.0,61.87,38.13,61.87,48.37
2025-02-07,135,0,108,27,0,0.5413333333333333,0.76,2.088888888888889,0.11889427841481481,0.39407263766592593,0.48164473523061724,0.10812412740740741,0.0,80.0,20.0,80.0,61.27
2025-02-10,134,0,97,37,0,0.5128358208955224,0.76,1.9701492537313432,0.11969935864552239,0.3934064032128731,0.48076146475845777,0.10713230432835821,0.0,72.39,27.61,72.39,56.3
2025-02-11,140,0,129,11,0,0.6177142857142858,0.76,2.407142857142857,0.058299543300000006,0.41769523765214284,0.5640447687780953,0.11146683957142857,0.0,92.14,7.86,92.14,70.46
2025-02-12,138,0,91,47,0,0.47304347826086957,0.76,1.8043478260869565,0.10503812157971015,0.40284768762463763,0.36720576429758456,0.113379745,0.0,65.94,34.06,65.94,51.45
2025-02-13,142,0,140,2,0,0.6467605633802818,0.76,2.528169014084507,0.048475460271126765,0.42616744310580984,0.5594192343823944,0.12021951950704225,0.0,98.59,1.41,98.59,74.87
2025-02-14,147,0,117,30,0,0.5330612244897959,0.76,2.054421768707483,0.07357911607142857,0.41963401948384355,0.4160254054659864,0.1268524019047619,0.0,79.59,20.41,79.59,60.73
2025-02-17,145,0,108,37,0,0.5001379310344828,0.76,1.9172413793103449,0.10969766802068967,0.40643678659965515,0.3779245298717242,0.12407893806896553,0.0,74.48,25.52,74.48,56.83
2025-02-18,147,0,136,11,0,0.6457142857142857,0.76,2.5238095238095237,0.038538947,0.42911634572346935,0.5738975972802721,0.11976162727891157,0.0,92.52,7.48,92.52,71.79
2025-02-19,148,0,89,59,0,0.44054054054054054,0.76,1.6689189189189189,0.12154772483445947,0.4011877832234797,0.3216672239925676,0.1217757366891892,0.0,60.14,39.86,60.14,47.23
2025-02-20,147,0,130,17,0,0.6081632653061225,0.76,2.36734693877551,0.1009596429047619,0.4037439248234694,0.5378536362761905,0.11301693993197277,0.0,88.44,11.56,88.44,68.22
2025-02-21,149,0,123,26,0,0.560268456375839,0.76,2.1677852348993287,0.07678325222147651,0.4177908025647651,0.4880215932111857,0.12317757174496645,0.0,82.55,17.45,82.55,63.32
2025-02-24,149,0,114,35,0,0.5167785234899329,0.76,1.9865771812080537,0.09463124854026846,0.40761271364513424,0.417002792631991,0.11520169939597315,0.0,76.51,23.49,76.51,58.52
2025-02-25,154,0,140,14,0,0.6197402597402597,0.76,2.4155844155844157,0.04818717815909091,0.42593975793003247,0.5273152891127706,0.11971762805194806,0.0,90.91,9.09,90.91,69.93
2025-02-26,147,0,89,58,0,0.4416326530612245,0.76,1.6734693877551021,0.12340710752380953,0.3942650972102041,0.32462752020952385,0.10726749768707483,0.0,60.54,39.46,60.54,47.47
2025-02-27,149,0,141,8,0,0.6424161073825503,0.76,2.51006711409396,0.07087442184563758,0.4140749539278523,0.5663790879932886,0.10931348597315438,0.0,94.63,5.37,94.63,72.71
2025-02-28,152,0,137,15,0,0.5973684210526315,0.76,2.3223684210526314,0.03524444130263158,0.42641170691249997,0.5792134106517545,0.10904449894736841,0.0,90.13,9.87,90.13,68.62
2025-03-03,154,0,100,54,0,0.4623376623376624,0.76,1.7597402597402598,0.09910621645454545,0.4040111202344156,0.36356876416363637,0.10915782948051948,0.0,64.94,35.06,64.94,50.52
2025-03-04,152,0,96,56,0,0.48210526315789476,0.76,1.8421052631578947,0.11451777605921053,0.4001770410042763,0.3635178436741229,0.11023473565789474,0.0,63.16,36.84,63.16,50.43
2025-03-05,150,0,141,9,0,0.6288,0.76,2.453333333333333,0.06900791079,0.4093934451301666,0.5439757277264444,0.09843099386666666,0.0,94.0,6.0,94.0,71.84
