mainline_id,total_dates,tc_dates,dw_dates,tc_windows,persistence_label
857321.SI,69,0,54,0,BACKGROUND_ONLY_AFTER_POOL
857323.SI,68,0,67,0,BACKGROUND_ONLY_AFTER_POOL
857334.SI,11,0,11,0,BACKGROUND_ONLY_AFTER_POOL
857336.SI,54,0,40,0,BACKGROUND_ONLY_AFTER_POOL
857344.SI,67,1,38,1,PRECURSOR_THEN_SINGLE_COLLAPSE
857352.SI,35,0,35,0,BACKGROUND_ONLY_AFTER_POOL
857354.SI,43,0,37,0,BACKGROUND_ONLY_AFTER_POOL
857355.SI,45,0,38,0,BACKGROUND_ONLY_AFTER_POOL
857362.SI,49,0,31,0,BACKGROUND_ONLY_AFTER_POOL
857371.SI,43,0,43,0,BACKGROUND_ONLY_AFTER_POOL
857372.SI,68,0,31,0,BACKGROUND_ONLY_AFTER_POOL
857373.SI,21,0,21,0,BACKGROUND_ONLY_AFTER_POOL
857375.SI,8,0,8,0,BACKGROUND_ONLY_AFTER_POOL
857381.SI,75,0,73,0,BACKGROUND_ONLY_AFTER_POOL
857382.SI,20,1,14,1,PRECURSOR_THEN_SINGLE_COLLAPSE
857411.SI,37,0,37,0,BACKGROUND_ONLY_AFTER_POOL
857421.SI,75,1,32,1,PRECURSOR_THEN_SINGLE_COLLAPSE
857431.SI,48,0,48,0,BACKGROUND_ONLY_AFTER_POOL
857451.SI,75,1,37,1,PRECURSOR_THEN_SINGLE_COLLAPSE
857641.SI,69,0,62,0,BACKGROUND_ONLY_AFTER_POOL
857651.SI,58,0,56,0,BACKGROUND_ONLY_AFTER_POOL
857661.SI,40,0,33,0,BACKGROUND_ONLY_AFTER_POOL
857674.SI,12,0,11,0,BACKGROUND_ONLY_AFTER_POOL
857691.SI,5,0,5,0,BACKGROUND_ONLY_AFTER_POOL
857692.SI,33,0,32,0,BACKGROUND_ONLY_AFTER_POOL
857821.SI,45,0,45,0,BACKGROUND_ONLY_AFTER_POOL
