mainline_id,total_rows,true_collapse_pct,diffusion_warning_pct,low_diffusion_bg_pct,suspected_background_noise
BK0737,18,5.56,27.78,66.67,False
851564.SI,37,5.41,91.89,2.7,False
857382.SI,21,4.76,71.43,23.81,False
BK0454,25,4.0,84.0,12.0,False
857221.SI,77,2.6,97.4,0.0,False
857344.SI,117,2.56,48.72,48.72,False
850324.SI,43,2.33,95.35,2.33,False
851316.SI,46,2.17,71.74,26.09,False
859633.SI,48,2.08,85.42,12.5,False
850333.SI,117,1.71,56.41,41.88,False
857261.SI,119,1.68,84.87,13.45,False
859714.SI,78,1.28,98.72,0.0,False
850813.SI,82,1.22,60.98,37.8,False
850711.SI,85,1.18,63.53,35.29,False
851532.SI,89,1.12,75.28,23.6,False
859721.SI,93,1.08,60.22,38.71,False
850442.SI,99,1.01,98.99,0.0,False
850716.SI,208,0.96,86.06,12.98,False
851811.SI,325,0.92,28.92,70.15,False
850832.SI,111,0.9,87.39,11.71,False
851614.SI,114,0.88,78.07,21.05,False
851631.SI,116,0.86,86.21,12.93,False
850614.SI,118,0.85,79.66,19.49,False
850922.SI,138,0.72,60.87,38.41,False
857421.SI,155,0.65,35.48,63.87,False
857451.SI,216,0.46,35.19,64.35,False
850751.SI,313,0.32,36.1,63.58,False
801720.SI,52,0.0,21.15,78.85,False
801730.SI,71,0.0,23.94,76.06,False
801740.SI,34,0.0,41.18,58.82,False
801750.SI,94,0.0,21.28,78.72,False
801760.SI,37,0.0,5.41,94.59,False
801770.SI,37,0.0,2.7,97.3,False
801790.SI,14,0.0,14.29,85.71,False
801880.SI,51,0.0,19.61,80.39,False
801890.SI,122,0.0,40.16,59.84,False
801950.SI,4,0.0,50.0,50.0,False
801960.SI,6,0.0,16.67,83.33,False
801970.SI,34,0.0,5.88,94.12,False
801980.SI,2,0.0,50.0,50.0,False
850111.SI,32,0.0,96.88,3.12,False
850113.SI,54,0.0,100.0,0.0,False
850122.SI,18,0.0,100.0,0.0,False
850135.SI,69,0.0,75.36,24.64,False
850136.SI,33,0.0,100.0,0.0,False
850142.SI,15,0.0,100.0,0.0,False
850151.SI,1,0.0,100.0,0.0,False
850152.SI,53,0.0,100.0,0.0,False
850154.SI,3,0.0,100.0,0.0,False
850172.SI,62,0.0,100.0,0.0,False
850173.SI,34,0.0,94.12,5.88,False
850181.SI,77,0.0,100.0,0.0,False
BK0482,11,0.0,100.0,0.0,False
850322.SI,53,0.0,83.02,16.98,False
850323.SI,57,0.0,94.74,5.26,False
850325.SI,96,0.0,100.0,0.0,False
850326.SI,51,0.0,100.0,0.0,False
850331.SI,111,0.0,100.0,0.0,False
850332.SI,18,0.0,83.33,16.67,False
850335.SI,79,0.0,75.95,24.05,False
850337.SI,88,0.0,98.86,1.14,False
850338.SI,64,0.0,89.06,10.94,False
850339.SI,261,0.0,34.48,65.52,False
850341.SI,31,0.0,70.97,29.03,False
850343.SI,36,0.0,97.22,2.78,False
850351.SI,32,0.0,59.38,40.62,False
850353.SI,42,0.0,97.62,2.38,False
850354.SI,42,0.0,97.62,2.38,False
850355.SI,69,0.0,95.65,4.35,False
850362.SI,7,0.0,100.0,0.0,False
850363.SI,12,0.0,83.33,16.67,False
850372.SI,34,0.0,100.0,0.0,False
850381.SI,34,0.0,76.47,23.53,False
850382.SI,13,0.0,100.0,0.0,False
850521.SI,121,0.0,100.0,0.0,False
850522.SI,51,0.0,90.2,9.8,False
850523.SI,10,0.0,100.0,0.0,False
850531.SI,36,0.0,55.56,44.44,False
850544.SI,85,0.0,80.0,20.0,False
850551.SI,273,0.0,82.42,17.58,False
850552.SI,139,0.0,100.0,0.0,False
850553.SI,101,0.0,81.19,18.81,False
850615.SI,30,0.0,100.0,0.0,False
850616.SI,31,0.0,93.55,6.45,False
850623.SI,43,0.0,100.0,0.0,False
850702.SI,16,0.0,100.0,0.0,False
850703.SI,228,0.0,39.91,60.09,False
850713.SI,71,0.0,98.59,1.41,False
850715.SI,121,0.0,98.35,1.65,False
850232.SI,25,0.0,100.0,0.0,False
850721.SI,32,0.0,90.62,9.38,False
850725.SI,240,0.0,36.67,63.33,False
850726.SI,8,0.0,100.0,0.0,False
850727.SI,300,0.0,41.67,58.33,False
850728.SI,45,0.0,93.33,6.67,False
850731.SI,152,0.0,43.42,56.58,False
850741.SI,64,0.0,100.0,0.0,False
850771.SI,122,0.0,70.49,29.51,False
850772.SI,22,0.0,100.0,0.0,False
850781.SI,46,0.0,80.43,19.57,False
850782.SI,87,0.0,88.51,11.49,False
850783.SI,81,0.0,100.0,0.0,False
850784.SI,39,0.0,94.87,5.13,False
850812.SI,70,0.0,100.0,0.0,False
850814.SI,159,0.0,43.4,56.6,False
850815.SI,113,0.0,65.49,34.51,False
850817.SI,34,0.0,100.0,0.0,False
850818.SI,85,0.0,84.71,15.29,False
850822.SI,173,0.0,86.13,13.87,False
850823.SI,48,0.0,81.25,18.75,False
850831.SI,195,0.0,70.77,29.23,False
850833.SI,54,0.0,88.89,11.11,False
850841.SI,139,0.0,90.65,9.35,False
850853.SI,11,0.0,100.0,0.0,False
850854.SI,323,0.0,47.68,52.32,False
850861.SI,116,0.0,52.59,47.41,False
850912.SI,28,0.0,100.0,0.0,False
850913.SI,3,0.0,100.0,0.0,False
850923.SI,484,0.0,22.11,77.89,False
850924.SI,57,0.0,59.65,40.35,False
850925.SI,229,0.0,52.4,47.6,False
850926.SI,155,0.0,65.16,34.84,False
850935.SI,5,0.0,80.0,20.0,False
850936.SI,46,0.0,41.3,58.7,False
