trade_date,total_mainlines,state_counts,top_trend_expansion,top_top_decay,risk_off_flag,row_count_written
2026-01-26,31,{'UNKNOWN': 31},N/A,N/A,NO,31
2026-01-27,31,{'UNKNOWN': 31},N/A,N/A,NO,31
2026-01-28,31,{'UNKNOWN': 31},N/A,N/A,NO,31
2026-01-29,31,{'UNKNOWN': 31},N/A,N/A,NO,31
2026-01-30,31,{'UNKNOWN': 31},N/A,N/A,NO,31
2026-02-02,31,{'UNKNOWN': 31},N/A,N/A,NO,31
2026-02-03,31,{'UNKNOWN': 31},N/A,N/A,NO,31
2026-02-04,31,{'UNKNOWN': 31},N/A,N/A,NO,31
2026-02-05,31,{'UNKNOWN': 31},N/A,N/A,NO,31
2026-02-06,31,{'UNKNOWN': 31},N/A,N/A,NO,31
2026-02-09,31,{'UNKNOWN': 31},N/A,N/A,NO,31
2026-02-10,31,{'UNKNOWN': 31},N/A,N/A,NO,31
2026-02-11,31,{'UNKNOWN': 31},N/A,N/A,NO,31
2026-02-12,31,{'UNKNOWN': 31},N/A,N/A,NO,31
2026-02-13,31,{'UNKNOWN': 31},N/A,N/A,NO,31
2026-02-24,31,{'UNKNOWN': 31},N/A,N/A,NO,31
2026-02-25,31,{'UNKNOWN': 31},N/A,N/A,NO,31
2026-02-26,31,{'UNKNOWN': 31},N/A,N/A,NO,31
2026-02-27,31,{'UNKNOWN': 31},N/A,N/A,NO,31
2026-03-02,31,{'UNKNOWN': 31},N/A,N/A,NO,31
2026-03-03,31,{'UNKNOWN': 31},N/A,N/A,NO,31
2026-03-04,31,{'UNKNOWN': 31},N/A,N/A,NO,31
2026-03-05,31,{'UNKNOWN': 31},N/A,N/A,NO,31
2026-03-06,31,{'UNKNOWN': 31},N/A,N/A,NO,31
2026-03-09,31,{'UNKNOWN': 31},N/A,N/A,NO,31
2026-03-10,31,{'UNKNOWN': 31},N/A,N/A,NO,31
2026-03-11,31,{'UNKNOWN': 31},N/A,N/A,NO,31
2026-03-12,31,{'UNKNOWN': 31},N/A,N/A,NO,31
2026-03-13,31,{'UNKNOWN': 31},N/A,N/A,NO,31
2026-03-16,31,{'UNKNOWN': 31},N/A,N/A,NO,31
2026-03-17,31,{'UNKNOWN': 31},N/A,N/A,NO,31
2026-03-18,31,{'UNKNOWN': 31},N/A,N/A,NO,31
2026-03-19,31,{'UNKNOWN': 31},N/A,N/A,NO,31
2026-03-20,31,{'UNKNOWN': 31},N/A,N/A,NO,31
2026-03-23,31,{'UNKNOWN': 31},N/A,N/A,NO,31
2026-03-24,31,{'UNKNOWN': 31},N/A,N/A,NO,31
2026-03-25,31,{'UNKNOWN': 31},N/A,N/A,NO,31
2026-03-26,31,{'UNKNOWN': 31},N/A,N/A,NO,31
2026-03-27,31,{'UNKNOWN': 31},N/A,N/A,NO,31
2026-03-30,31,{'UNKNOWN': 31},N/A,N/A,NO,31
