trade_date,symbol_count,avg_quality_score,avg_growth_acceleration,avg_cashflow,avg_debt_control,avg_margin_stability,avg_profitability,risk_flag_distribution,row_count
2018-01-02,3187,0.5061,0.5148,0.1803,0.8235,0.657,0.3549,"{'NONE': 1416, 'CASHFLOW_WEAK': 1399, 'NEGATIVE_EARNINGS': 372}",3187
2018-01-03,3194,0.506,0.5145,0.1803,0.8234,0.657,0.3548,"{'NONE': 1419, 'CASHFLOW_WEAK': 1402, 'NEGATIVE_EARNINGS': 373}",3194
2018-01-04,3192,0.506,0.5145,0.1805,0.8234,0.657,0.3548,"{'NONE': 1419, 'CASHFLOW_WEAK': 1401, 'NEGATIVE_EARNINGS': 372}",3192
2018-01-05,3195,0.5061,0.5143,0.1807,0.8233,0.6573,0.3549,"{'NONE': 1422, 'CASHFLOW_WEAK': 1401, 'NEGATIVE_EARNINGS': 372}",3195
2018-01-08,3196,0.506,0.5141,0.1807,0.8235,0.6572,0.3548,"{'NONE': 1421, 'CASHFLOW_WEAK': 1402, 'NEGATIVE_EARNINGS': 373}",3196
2018-01-09,3198,0.5063,0.5144,0.1813,0.8235,0.6572,0.3549,"{'NONE': 1427, 'CASHFLOW_WEAK': 1400, 'NEGATIVE_EARNINGS': 371}",3198
2018-01-10,3199,0.5063,0.5145,0.1814,0.8234,0.6573,0.355,"{'NONE': 1428, 'CASHFLOW_WEAK': 1400, 'NEGATIVE_EARNINGS': 371}",3199
2018-01-11,3202,0.5063,0.5147,0.1813,0.8235,0.6572,0.355,"{'NONE': 1427, 'CASHFLOW_WEAK': 1404, 'NEGATIVE_EARNINGS': 371}",3202
2018-01-12,3202,0.5065,0.5148,0.1815,0.8237,0.6574,0.3551,"{'NONE': 1429, 'CASHFLOW_WEAK': 1403, 'NEGATIVE_EARNINGS': 370}",3202
2018-01-15,3208,0.5064,0.5148,0.1814,0.8235,0.6573,0.3551,"{'NONE': 1430, 'CASHFLOW_WEAK': 1408, 'NEGATIVE_EARNINGS': 370}",3208
2018-01-16,3212,0.506,0.5138,0.181,0.8236,0.6572,0.3544,"{'NONE': 1428, 'CASHFLOW_WEAK': 1410, 'NEGATIVE_EARNINGS': 374}",3212
2018-01-17,3209,0.506,0.5137,0.181,0.8233,0.6572,0.3548,"{'NONE': 1426, 'CASHFLOW_WEAK': 1409, 'NEGATIVE_EARNINGS': 374}",3209
2018-01-18,3209,0.506,0.5134,0.1808,0.8235,0.6575,0.3548,"{'NONE': 1424, 'CASHFLOW_WEAK': 1412, 'NEGATIVE_EARNINGS': 373}",3209
2018-01-19,3215,0.506,0.5133,0.1806,0.8238,0.6577,0.3548,"{'NONE': 1424, 'CASHFLOW_WEAK': 1418, 'NEGATIVE_EARNINGS': 373}",3215
2018-01-22,3208,0.5061,0.5138,0.1806,0.8235,0.6576,0.355,"{'NONE': 1423, 'CASHFLOW_WEAK': 1413, 'NEGATIVE_EARNINGS': 372}",3208
