trade_date,symbol_count,avg_quality_score,avg_growth_acceleration,avg_cashflow,avg_debt_control,avg_margin_stability,avg_profitability,risk_flag_distribution,row_count
2020-01-02,3713,0.4789,0.3769,0.227,0.814,0.6534,0.3234,"{'NONE': 1786, 'CASHFLOW_WEAK': 1101, 'NEGATIVE_EARNINGS': 826}",3713
2020-01-03,3714,0.479,0.377,0.2272,0.8141,0.6535,0.3234,"{'NONE': 1788, 'CASHFLOW_WEAK': 1100, 'NEGATIVE_EARNINGS': 826}",3714
2020-01-06,3716,0.4791,0.377,0.2272,0.8143,0.6536,0.3233,"{'NONE': 1789, 'CASHFLOW_WEAK': 1101, 'NEGATIVE_EARNINGS': 826}",3716
2020-01-07,3716,0.479,0.3767,0.2271,0.8143,0.6538,0.3233,"{'NONE': 1787, 'CASHFLOW_WEAK': 1102, 'NEGATIVE_EARNINGS': 827}",3716
2020-01-08,3715,0.479,0.3767,0.2271,0.8142,0.6538,0.3233,"{'NONE': 1786, 'CASHFLOW_WEAK': 1102, 'NEGATIVE_EARNINGS': 827}",3715
2020-01-09,3715,0.4791,0.3768,0.2272,0.8141,0.6538,0.3235,"{'NONE': 1787, 'CASHFLOW_WEAK': 1102, 'NEGATIVE_EARNINGS': 826}",3715
2020-01-10,3713,0.4791,0.3769,0.2271,0.8141,0.6538,0.3236,"{'NONE': 1786, 'CASHFLOW_WEAK': 1102, 'NEGATIVE_EARNINGS': 825}",3713
2020-01-13,3713,0.4792,0.3771,0.2273,0.8142,0.6538,0.3235,"{'NONE': 1788, 'CASHFLOW_WEAK': 1101, 'NEGATIVE_EARNINGS': 824}",3713
2020-01-14,3715,0.4793,0.3771,0.2275,0.8141,0.6537,0.3238,"{'NONE': 1792, 'CASHFLOW_WEAK': 1100, 'NEGATIVE_EARNINGS': 823}",3715
2020-01-15,3715,0.4792,0.377,0.2274,0.814,0.6537,0.3238,"{'NONE': 1792, 'CASHFLOW_WEAK': 1100, 'NEGATIVE_EARNINGS': 823}",3715
2020-01-16,3716,0.4793,0.3771,0.2276,0.8142,0.6537,0.3239,"{'NONE': 1794, 'CASHFLOW_WEAK': 1100, 'NEGATIVE_EARNINGS': 822}",3716
2020-01-17,3720,0.4793,0.3772,0.2273,0.8142,0.6537,0.324,"{'NONE': 1794, 'CASHFLOW_WEAK': 1102, 'NEGATIVE_EARNINGS': 824}",3720
2020-01-20,3723,0.4792,0.377,0.2274,0.8142,0.6537,0.3238,"{'NONE': 1795, 'CASHFLOW_WEAK': 1102, 'NEGATIVE_EARNINGS': 826}",3723
2020-01-21,3725,0.4793,0.3772,0.2274,0.8143,0.6537,0.3239,"{'NONE': 1797, 'CASHFLOW_WEAK': 1102, 'NEGATIVE_EARNINGS': 826}",3725
2020-01-22,3730,0.4792,0.3769,0.2273,0.8144,0.6537,0.3237,"{'NONE': 1799, 'CASHFLOW_WEAK': 1102, 'NEGATIVE_EARNINGS': 829}",3730
2020-01-23,3733,0.4792,0.3769,0.2274,0.8143,0.6535,0.3238,"{'NONE': 1801, 'CASHFLOW_WEAK': 1102, 'NEGATIVE_EARNINGS': 830}",3733
