trade_date,symbol_count,avg_quality_score,avg_growth_acceleration,avg_cashflow,avg_debt_control,avg_margin_stability,avg_profitability,risk_flag_distribution,row_count
2026-04-17,5190,0.4676,0.3414,0.2682,0.8146,0.6263,0.2877,"{'NONE': 2594, 'NEGATIVE_EARNINGS': 1379, 'CASHFLOW_WEAK': 1217}",5190
2026-04-20,5185,0.4675,0.3429,0.2687,0.8143,0.6243,0.2874,"{'NONE': 2598, 'NEGATIVE_EARNINGS': 1372, 'CASHFLOW_WEAK': 1215}",5185
2026-04-21,5190,0.4667,0.3442,0.2662,0.8139,0.6234,0.286,"{'NONE': 2562, 'NEGATIVE_EARNINGS': 1365, 'CASHFLOW_WEAK': 1263}",5190
2026-04-22,5189,0.4653,0.3432,0.2635,0.8138,0.6227,0.2834,"{'NONE': 2541, 'NEGATIVE_EARNINGS': 1369, 'CASHFLOW_WEAK': 1279}",5189
2026-04-23,5187,0.4618,0.3458,0.254,0.8137,0.6177,0.2777,"{'NONE': 2432, 'NEGATIVE_EARNINGS': 1406, 'CASHFLOW_WEAK': 1349}",5187
2026-04-24,5187,0.4577,0.3484,0.2406,0.8139,0.6146,0.271,"{'NONE': 2305, 'CASHFLOW_WEAK': 1457, 'NEGATIVE_EARNINGS': 1425}",5187
2026-04-27,5185,0.4523,0.3578,0.2209,0.8139,0.6074,0.2617,"{'NONE': 2120, 'CASHFLOW_WEAK': 1619, 'NEGATIVE_EARNINGS': 1446}",5185
2026-04-28,5178,0.4435,0.3642,0.1893,0.8143,0.6042,0.2453,"{'CASHFLOW_WEAK': 1867, 'NONE': 1827, 'NEGATIVE_EARNINGS': 1484}",5178
2026-04-29,5152,0.4343,0.3695,0.1579,0.8155,0.601,0.2273,"{'CASHFLOW_WEAK': 2097, 'NEGATIVE_EARNINGS': 1540, 'NONE': 1515}",5152
2026-04-30,5151,0.4226,0.3706,0.1195,0.8152,0.6013,0.2067,"{'CASHFLOW_WEAK': 2340, 'NEGATIVE_EARNINGS': 1647, 'NONE': 1164}",5151
2026-05-06,5180,0.4243,0.3564,0.1192,0.8147,0.625,0.2061,"{'CASHFLOW_WEAK': 2312, 'NEGATIVE_EARNINGS': 1712, 'NONE': 1156}",5180
2026-05-07,5182,0.4244,0.3559,0.1193,0.8147,0.6262,0.206,"{'CASHFLOW_WEAK': 2309, 'NEGATIVE_EARNINGS': 1716, 'NONE': 1157}",5182
2026-05-08,5180,0.4244,0.3558,0.1193,0.8147,0.626,0.206,"{'CASHFLOW_WEAK': 2307, 'NEGATIVE_EARNINGS': 1716, 'NONE': 1157}",5180
2026-05-11,5178,0.4244,0.356,0.1192,0.8146,0.6261,0.2061,"{'CASHFLOW_WEAK': 2308, 'NEGATIVE_EARNINGS': 1714, 'NONE': 1156}",5178
2026-05-12,5177,0.4244,0.3558,0.1193,0.8145,0.6262,0.206,"{'CASHFLOW_WEAK': 2305, 'NEGATIVE_EARNINGS': 1716, 'NONE': 1156}",5177
2026-05-13,5181,0.4244,0.3558,0.1193,0.8146,0.6262,0.2059,"{'CASHFLOW_WEAK': 2307, 'NEGATIVE_EARNINGS': 1717, 'NONE': 1157}",5181
2026-05-14,5181,0.4244,0.3558,0.1193,0.8147,0.6262,0.2059,"{'CASHFLOW_WEAK': 2307, 'NEGATIVE_EARNINGS': 1717, 'NONE': 1157}",5181
2026-05-15,5181,0.4244,0.3557,0.1193,0.8147,0.6262,0.2059,"{'CASHFLOW_WEAK': 2307, 'NEGATIVE_EARNINGS': 1717, 'NONE': 1157}",5181
