trade_date,symbol_count,avg_quality_score,avg_growth_acceleration,avg_cashflow,avg_debt_control,avg_margin_stability,avg_profitability,risk_flag_distribution,row_count
2026-01-05,5168,0.4207,0.3418,0.2399,0.8144,0.4347,0.273,"{'NONE': 2382, 'NEGATIVE_EARNINGS': 1423, 'CASHFLOW_WEAK': 1363}",5168
2026-01-06,5170,0.4592,0.3418,0.24,0.8144,0.6268,0.273,"{'NONE': 2383, 'NEGATIVE_EARNINGS': 1423, 'CASHFLOW_WEAK': 1364}",5170
2026-01-07,5171,0.4594,0.3419,0.24,0.8146,0.6271,0.2732,"{'NONE': 2384, 'NEGATIVE_EARNINGS': 1422, 'CASHFLOW_WEAK': 1365}",5171
2026-01-08,5170,0.4594,0.3419,0.24,0.8146,0.6272,0.2732,"{'NONE': 2383, 'NEGATIVE_EARNINGS': 1422, 'CASHFLOW_WEAK': 1365}",5170
2026-01-09,5169,0.4594,0.3419,0.24,0.8146,0.6272,0.2732,"{'NONE': 2383, 'NEGATIVE_EARNINGS': 1422, 'CASHFLOW_WEAK': 1364}",5169
2026-01-12,5169,0.4593,0.3417,0.2399,0.8146,0.627,0.2731,"{'NONE': 2380, 'NEGATIVE_EARNINGS': 1426, 'CASHFLOW_WEAK': 1363}",5169
2026-01-13,5162,0.4593,0.3414,0.2401,0.8146,0.6272,0.2731,"{'NONE': 2377, 'NEGATIVE_EARNINGS': 1426, 'CASHFLOW_WEAK': 1359}",5162
2026-01-14,5164,0.4592,0.3415,0.24,0.8145,0.627,0.2731,"{'NONE': 2378, 'NEGATIVE_EARNINGS': 1425, 'CASHFLOW_WEAK': 1361}",5164
2026-01-15,5167,0.4591,0.3414,0.2399,0.8144,0.6269,0.273,"{'NONE': 2379, 'NEGATIVE_EARNINGS': 1426, 'CASHFLOW_WEAK': 1362}",5167
2026-01-16,5169,0.4592,0.3415,0.2399,0.8144,0.6272,0.273,"{'NONE': 2380, 'NEGATIVE_EARNINGS': 1427, 'CASHFLOW_WEAK': 1362}",5169
2026-01-19,5170,0.4592,0.3417,0.24,0.8144,0.6272,0.273,"{'NONE': 2381, 'NEGATIVE_EARNINGS': 1427, 'CASHFLOW_WEAK': 1362}",5170
2026-01-20,5176,0.4592,0.3416,0.2399,0.8143,0.6271,0.2729,"{'NONE': 2385, 'NEGATIVE_EARNINGS': 1428, 'CASHFLOW_WEAK': 1363}",5176
2026-01-21,5173,0.4592,0.3415,0.2399,0.8145,0.6272,0.273,"{'NONE': 2384, 'NEGATIVE_EARNINGS': 1428, 'CASHFLOW_WEAK': 1361}",5173
2026-01-22,5173,0.4592,0.3414,0.2399,0.8144,0.627,0.273,"{'NONE': 2384, 'NEGATIVE_EARNINGS': 1428, 'CASHFLOW_WEAK': 1361}",5173
2026-01-23,5174,0.4591,0.3414,0.2399,0.8144,0.627,0.273,"{'NONE': 2384, 'NEGATIVE_EARNINGS': 1428, 'CASHFLOW_WEAK': 1362}",5174
2026-01-26,5170,0.4592,0.3417,0.2399,0.8144,0.6271,0.2732,"{'NONE': 2384, 'NEGATIVE_EARNINGS': 1425, 'CASHFLOW_WEAK': 1361}",5170
2026-01-27,5170,0.4593,0.3416,0.24,0.8145,0.627,0.2731,"{'NONE': 2384, 'NEGATIVE_EARNINGS': 1426, 'CASHFLOW_WEAK': 1360}",5170
2026-01-28,5170,0.4593,0.3416,0.24,0.8146,0.6271,0.2732,"{'NONE': 2385, 'NEGATIVE_EARNINGS': 1425, 'CASHFLOW_WEAK': 1360}",5170
2026-01-29,5171,0.4594,0.3418,0.24,0.8145,0.6271,0.2733,"{'NONE': 2385, 'NEGATIVE_EARNINGS': 1425, 'CASHFLOW_WEAK': 1361}",5171
2026-01-30,5168,0.4594,0.3419,0.24,0.8146,0.6273,0.2734,"{'NONE': 2384, 'NEGATIVE_EARNINGS': 1423, 'CASHFLOW_WEAK': 1361}",5168
2026-02-02,5170,0.4595,0.3418,0.2401,0.8146,0.6273,0.2734,"{'NONE': 2386, 'NEGATIVE_EARNINGS': 1423, 'CASHFLOW_WEAK': 1361}",5170
2026-02-03,5171,0.4595,0.3418,0.2402,0.8147,0.6273,0.2735,"{'NONE': 2387, 'NEGATIVE_EARNINGS': 1423, 'CASHFLOW_WEAK': 1361}",5171
2026-02-04,5174,0.4594,0.3417,0.2402,0.8145,0.6272,0.2733,"{'NONE': 2387, 'NEGATIVE_EARNINGS': 1425, 'CASHFLOW_WEAK': 1362}",5174
2026-02-05,5174,0.4594,0.3418,0.2402,0.8145,0.6273,0.2734,"{'NONE': 2388, 'NEGATIVE_EARNINGS': 1424, 'CASHFLOW_WEAK': 1362}",5174
2026-02-06,5172,0.4595,0.342,0.2403,0.8146,0.6273,0.2734,"{'NONE': 2388, 'NEGATIVE_EARNINGS': 1422, 'CASHFLOW_WEAK': 1362}",5172
2026-02-09,5171,0.4594,0.3417,0.2401,0.8146,0.6273,0.2732,"{'NONE': 2385, 'NEGATIVE_EARNINGS': 1423, 'CASHFLOW_WEAK': 1363}",5171
2026-02-10,5175,0.4593,0.3415,0.2401,0.8146,0.6271,0.2733,"{'NONE': 2387, 'NEGATIVE_EARNINGS': 1424, 'CASHFLOW_WEAK': 1364}",5175
2026-02-11,5175,0.4594,0.3414,0.2402,0.8148,0.6273,0.2733,"{'NONE': 2387, 'NEGATIVE_EARNINGS': 1424, 'CASHFLOW_WEAK': 1364}",5175
2026-02-12,5179,0.4593,0.3414,0.2401,0.8146,0.6273,0.2731,"{'NONE': 2387, 'NEGATIVE_EARNINGS': 1427, 'CASHFLOW_WEAK': 1365}",5179
2026-02-13,5178,0.4593,0.3413,0.2401,0.8146,0.6274,0.2731,"{'NONE': 2387, 'NEGATIVE_EARNINGS': 1427, 'CASHFLOW_WEAK': 1364}",5178
2026-02-24,5180,0.4594,0.3416,0.2403,0.8144,0.6273,0.2733,"{'NONE': 2389, 'NEGATIVE_EARNINGS': 1426, 'CASHFLOW_WEAK': 1365}",5180
2026-02-25,5177,0.4595,0.3416,0.2402,0.8145,0.6275,0.2734,"{'NONE': 2388, 'NEGATIVE_EARNINGS': 1424, 'CASHFLOW_WEAK': 1365}",5177
2026-02-26,5176,0.4595,0.3417,0.2402,0.8145,0.6275,0.2734,"{'NONE': 2387, 'NEGATIVE_EARNINGS': 1423, 'CASHFLOW_WEAK': 1366}",5176
2026-02-27,5176,0.4595,0.3415,0.2403,0.8146,0.6275,0.2734,"{'NONE': 2388, 'NEGATIVE_EARNINGS': 1425, 'CASHFLOW_WEAK': 1363}",5176
2026-03-02,5175,0.4595,0.3415,0.2404,0.8147,0.6275,0.2736,"{'NONE': 2387, 'NEGATIVE_EARNINGS': 1425, 'CASHFLOW_WEAK': 1363}",5175
2026-03-03,5177,0.4596,0.3416,0.2405,0.8147,0.6277,0.2736,"{'NONE': 2388, 'NEGATIVE_EARNINGS': 1426, 'CASHFLOW_WEAK': 1363}",5177
2026-03-04,5178,0.4596,0.3416,0.2404,0.8147,0.6276,0.2736,"{'NONE': 2388, 'NEGATIVE_EARNINGS': 1426, 'CASHFLOW_WEAK': 1364}",5178
2026-03-05,5179,0.4596,0.3416,0.2405,0.8146,0.6276,0.2736,"{'NONE': 2389, 'NEGATIVE_EARNINGS': 1426, 'CASHFLOW_WEAK': 1364}",5179
2026-03-06,5180,0.4596,0.3417,0.2405,0.8146,0.6275,0.2737,"{'NONE': 2390, 'NEGATIVE_EARNINGS': 1426, 'CASHFLOW_WEAK': 1364}",5180
2026-03-09,5183,0.4596,0.3417,0.2407,0.8147,0.6275,0.2737,"{'NONE': 2393, 'NEGATIVE_EARNINGS': 1427, 'CASHFLOW_WEAK': 1363}",5183
2026-03-10,5181,0.4597,0.3418,0.2408,0.8146,0.6275,0.2738,"{'NONE': 2391, 'NEGATIVE_EARNINGS': 1426, 'CASHFLOW_WEAK': 1364}",5181
2026-03-11,5184,0.4597,0.3418,0.241,0.8145,0.6276,0.2739,"{'NONE': 2395, 'NEGATIVE_EARNINGS': 1427, 'CASHFLOW_WEAK': 1362}",5184
2026-03-12,5184,0.4597,0.3417,0.241,0.8145,0.6276,0.2739,"{'NONE': 2395, 'NEGATIVE_EARNINGS': 1427, 'CASHFLOW_WEAK': 1362}",5184
2026-03-13,5183,0.4599,0.3421,0.2412,0.8145,0.6276,0.2742,"{'NONE': 2396, 'NEGATIVE_EARNINGS': 1426, 'CASHFLOW_WEAK': 1361}",5183
2026-03-16,5182,0.4601,0.3421,0.242,0.8144,0.6275,0.2744,"{'NONE': 2402, 'NEGATIVE_EARNINGS': 1425, 'CASHFLOW_WEAK': 1355}",5182
2026-03-17,5180,0.4602,0.3421,0.2427,0.8143,0.6274,0.2747,"{'NONE': 2407, 'NEGATIVE_EARNINGS': 1424, 'CASHFLOW_WEAK': 1349}",5180
2026-03-18,5180,0.4603,0.3421,0.2429,0.8142,0.6273,0.275,"{'NONE': 2407, 'NEGATIVE_EARNINGS': 1425, 'CASHFLOW_WEAK': 1348}",5180
2026-03-19,5180,0.4602,0.3418,0.2428,0.8142,0.6274,0.2749,"{'NONE': 2406, 'NEGATIVE_EARNINGS': 1426, 'CASHFLOW_WEAK': 1348}",5180
2026-03-20,5181,0.4604,0.342,0.2434,0.8144,0.6271,0.2753,"{'NONE': 2412, 'NEGATIVE_EARNINGS': 1426, 'CASHFLOW_WEAK': 1343}",5181
2026-03-23,5183,0.4607,0.3424,0.2444,0.8143,0.6269,0.2758,"{'NONE': 2422, 'NEGATIVE_EARNINGS': 1422, 'CASHFLOW_WEAK': 1339}",5183
2026-03-24,5181,0.4609,0.342,0.2449,0.8143,0.6272,0.2761,"{'NONE': 2423, 'NEGATIVE_EARNINGS': 1424, 'CASHFLOW_WEAK': 1334}",5181
2026-03-25,5182,0.4612,0.3423,0.2456,0.8143,0.6271,0.2765,"{'NONE': 2434, 'NEGATIVE_EARNINGS': 1417, 'CASHFLOW_WEAK': 1331}",5182
2026-03-26,5181,0.4613,0.3421,0.2464,0.8143,0.6269,0.2767,"{'NONE': 2439, 'NEGATIVE_EARNINGS': 1419, 'CASHFLOW_WEAK': 1323}",5181
2026-03-27,5177,0.4618,0.3416,0.2485,0.8145,0.6268,0.2776,"{'NONE': 2448, 'NEGATIVE_EARNINGS': 1416, 'CASHFLOW_WEAK': 1313}",5177
2026-03-30,5174,0.4634,0.3434,0.2524,0.8143,0.6264,0.2807,"{'NONE': 2486, 'NEGATIVE_EARNINGS': 1392, 'CASHFLOW_WEAK': 1296}",5174
