mainline_id,total_dates,tc_dates,dw_dates,tc_windows,persistence_label
801010.SI,61,0,25,0,BACKGROUND_ONLY_AFTER_POOL
801030.SI,61,0,21,0,BACKGROUND_ONLY_AFTER_POOL
801040.SI,61,0,34,0,BACKGROUND_ONLY_AFTER_POOL
801050.SI,61,0,20,0,BACKGROUND_ONLY_AFTER_POOL
801080.SI,61,0,23,0,BACKGROUND_ONLY_AFTER_POOL
801110.SI,61,0,26,0,BACKGROUND_ONLY_AFTER_POOL
801120.SI,61,0,28,0,BACKGROUND_ONLY_AFTER_POOL
801130.SI,61,0,29,0,BACKGROUND_ONLY_AFTER_POOL
801140.SI,60,0,25,0,BACKGROUND_ONLY_AFTER_POOL
801150.SI,61,0,21,0,BACKGROUND_ONLY_AFTER_POOL
801160.SI,59,0,23,0,BACKGROUND_ONLY_AFTER_POOL
801170.SI,61,0,23,0,BACKGROUND_ONLY_AFTER_POOL
801180.SI,61,0,25,0,BACKGROUND_ONLY_AFTER_POOL
801200.SI,61,0,26,0,BACKGROUND_ONLY_AFTER_POOL
801210.SI,60,0,25,0,BACKGROUND_ONLY_AFTER_POOL
801230.SI,53,0,53,0,BACKGROUND_ONLY_AFTER_POOL
801710.SI,61,0,28,0,BACKGROUND_ONLY_AFTER_POOL
801720.SI,61,0,26,0,BACKGROUND_ONLY_AFTER_POOL
801730.SI,61,0,23,0,BACKGROUND_ONLY_AFTER_POOL
801740.SI,61,0,26,0,BACKGROUND_ONLY_AFTER_POOL
801750.SI,61,0,29,0,BACKGROUND_ONLY_AFTER_POOL
801760.SI,61,0,25,0,BACKGROUND_ONLY_AFTER_POOL
801770.SI,61,0,28,0,BACKGROUND_ONLY_AFTER_POOL
801780.SI,31,0,10,0,BACKGROUND_ONLY_AFTER_POOL
801790.SI,56,0,25,0,BACKGROUND_ONLY_AFTER_POOL
801880.SI,61,0,25,0,BACKGROUND_ONLY_AFTER_POOL
801890.SI,61,0,31,0,BACKGROUND_ONLY_AFTER_POOL
801950.SI,47,0,20,0,BACKGROUND_ONLY_AFTER_POOL
801960.SI,54,0,24,0,BACKGROUND_ONLY_AFTER_POOL
