trade_date,industry_count,avg_mainline_strength,active_mainline_count,avg_leader_density,avg_breakout_ratio,row_count
2020-01-02,264,0.4006,6,0.5289,0.0,264
2020-01-03,264,0.3391,1,0.5319,0.0,264
2020-01-06,264,0.3408,4,0.5342,0.0,264
2020-01-07,264,0.3782,5,0.53,0.0,264
2020-01-08,264,0.2753,2,0.5333,0.0,264
2020-01-09,264,0.3891,4,0.5353,0.0,264
2020-01-10,264,0.3044,1,0.5292,0.0,264
2020-01-13,264,0.3638,6,0.5261,0.0,264
2020-01-14,264,0.3162,1,0.5296,0.0,264
2020-01-15,264,0.2937,1,0.5236,0.0,264
2020-01-16,264,0.2893,1,0.5192,0.0,264
2020-01-17,264,0.2981,2,0.5174,0.0,264
2020-01-20,264,0.357,3,0.5184,0.0,264
2020-01-21,264,0.2747,1,0.522,0.0,264
2020-01-22,264,0.3162,1,0.5202,0.0,264
2020-01-23,264,0.2458,0,0.5193,0.0,264
2020-02-03,264,0.2118,0,0.5182,0.0,264
2020-02-04,264,0.3051,2,0.5119,0.0,264
2020-02-05,264,0.3945,5,0.511,0.0,264
2020-02-06,264,0.3971,6,0.4925,0.0,264
2020-02-07,264,0.3409,5,0.4882,0.0,264
2020-02-10,264,0.3742,6,0.4864,0.0,264
2020-02-11,264,0.2986,2,0.4808,0.0,264
2020-02-12,264,0.3782,6,0.4784,0.0,264
2020-02-13,264,0.2751,2,0.4808,0.0,264
2020-02-14,264,0.3094,3,0.4796,0.0,264
2020-02-17,264,0.4051,6,0.4691,0.0,264
2020-02-18,264,0.3606,6,0.4716,0.0,264
2020-02-19,264,0.2929,3,0.479,0.0,264
2020-02-20,264,0.3829,4,0.4753,0.0,264
2020-02-21,264,0.3351,4,0.4752,0.0,264
2020-02-24,264,0.3278,1,0.479,0.0,264
2020-02-25,264,0.283,2,0.4746,0.0,264
2020-02-26,264,0.296,2,0.4793,0.0,264
2020-02-27,264,0.3196,4,0.4822,0.0,264
2020-02-28,264,0.23,0,0.4852,0.0,264
2020-03-02,264,0.4121,6,0.4934,0.0,264
2020-03-03,264,0.3543,4,0.4993,0.0,264
2020-03-04,264,0.3577,5,0.5052,0.0,264
2020-03-05,264,0.3851,4,0.5058,0.0,264
2020-03-06,264,0.311,2,0.5074,0.0,264
2020-03-09,264,0.256,0,0.5113,0.0,264
2020-03-10,264,0.3831,5,0.5174,0.0,264
2020-03-11,264,0.2921,1,0.5196,0.0,264
2020-03-12,264,0.2668,1,0.5263,0.0,264
2020-03-13,264,0.2819,2,0.5224,0.0,264
2020-03-16,264,0.2487,1,0.5284,0.0,264
2020-03-17,264,0.3059,1,0.5257,0.0,264
2020-03-18,264,0.273,1,0.528,0.0,264
2020-03-19,264,0.3449,3,0.5334,0.0,264
2020-03-20,264,0.3853,5,0.5421,0.0,264
2020-03-23,264,0.2538,2,0.5484,0.0,264
2020-03-24,264,0.3987,6,0.5452,0.0,264
2020-03-25,264,0.4064,6,0.54,0.0,264
2020-03-26,264,0.2958,2,0.5466,0.0,264
2020-03-27,264,0.315,3,0.5464,0.0,264
2020-03-30,264,0.2789,2,0.5385,0.0,264
2020-03-31,264,0.3304,5,0.5412,0.0,264
