trade_date,industry_count,avg_mainline_strength,active_mainline_count,avg_leader_density,avg_breakout_ratio,row_count
2012-01-04,233,0.2818,1,0.5719,0.0,233
2012-01-05,232,0.2708,1,0.5672,0.0,232
2012-01-06,233,0.3816,14,0.5642,0.0,233
2012-01-09,233,0.4525,21,0.5686,0.0,233
2012-01-10,233,0.4522,19,0.5747,0.0,233
2012-01-11,233,0.3538,11,0.5929,0.0,233
2012-01-12,232,0.329,4,0.5841,0.0,232
2012-01-13,231,0.2686,1,0.5766,0.0,231
2012-01-16,233,0.2736,0,0.5779,0.0,233
2012-01-17,233,0.4597,21,0.5689,0.0,233
2012-01-18,233,0.2813,2,0.5656,0.0,233
2012-01-19,233,0.3983,13,0.5649,0.0,233
2012-01-20,233,0.4186,19,0.5797,0.0,233
2012-01-30,233,0.3326,5,0.5822,0.0,233
2012-01-31,233,0.3497,10,0.5725,0.0,233
2012-02-01,233,0.3228,8,0.5766,0.0,233
2012-02-02,232,0.4373,19,0.5777,0.0,232
2012-02-03,233,0.4299,20,0.5804,0.0,233
2012-02-06,233,0.3982,15,0.5887,0.0,233
2012-02-07,233,0.2891,1,0.5822,0.0,233
2012-02-08,233,0.4472,19,0.5876,0.0,233
2012-02-09,233,0.3915,14,0.5919,0.0,233
2012-02-10,233,0.378,14,0.5898,0.0,233
2012-02-13,233,0.4097,17,0.5855,0.0,233
2012-02-14,232,0.3476,9,0.5821,0.0,232
2012-02-15,232,0.4353,17,0.5881,0.0,232
2012-02-16,233,0.3424,5,0.6029,0.0,233
2012-02-17,233,0.3278,5,0.5955,0.0,233
2012-02-20,233,0.3563,6,0.6094,0.0,233
2012-02-21,233,0.4209,17,0.6015,0.0,233
2012-02-22,233,0.4441,19,0.6046,0.0,233
2012-02-23,233,0.36,4,0.6059,0.0,233
2012-02-24,232,0.4147,15,0.6052,0.0,232
2012-02-27,232,0.3496,6,0.6016,0.0,232
2012-02-28,232,0.3305,4,0.5958,0.0,232
2012-02-29,232,0.3051,3,0.5932,0.0,232
2012-03-01,233,0.3897,14,0.5933,0.0,233
2012-03-02,233,0.4421,18,0.601,0.0,233
2012-03-05,232,0.3559,9,0.6017,0.0,232
2012-03-06,232,0.3216,3,0.6043,0.0,232
2012-03-07,233,0.3326,7,0.5958,0.0,233
2012-03-08,233,0.4291,17,0.5925,0.0,233
2012-03-09,232,0.4285,15,0.5996,0.0,232
2012-03-12,233,0.379,13,0.6003,0.0,233
2012-03-13,233,0.4057,13,0.6012,0.0,233
2012-03-14,233,0.2718,1,0.5865,0.0,233
2012-03-15,233,0.3258,9,0.588,0.0,233
2012-03-16,233,0.4424,21,0.5899,0.0,233
2012-03-19,233,0.4146,17,0.5952,0.0,233
2012-03-20,232,0.2818,1,0.5794,0.0,232
2012-03-21,232,0.3647,10,0.5835,0.0,232
2012-03-22,233,0.3385,5,0.5825,0.0,233
2012-03-23,232,0.2916,2,0.5816,0.0,232
2012-03-26,233,0.3462,6,0.5844,0.0,233
2012-03-27,233,0.342,4,0.5872,0.0,233
2012-03-28,233,0.264,1,0.5811,0.0,233
2012-03-29,232,0.2983,4,0.5859,0.0,232
2012-03-30,233,0.3359,10,0.5725,0.0,233
2012-04-05,231,0.4448,17,0.5833,0.0,231
