trade_date,industry_count,avg_mainline_strength,active_mainline_count,avg_leader_density,avg_breakout_ratio,row_count
2017-01-03,263,0.3976,8,0.5663,0.0,263
2017-01-04,263,0.396,6,0.5602,0.0,263
2017-01-05,263,0.3308,3,0.5697,0.0,263
2017-01-06,263,0.3043,1,0.5672,0.0,263
2017-01-09,263,0.3711,6,0.589,0.0,263
2017-01-10,263,0.3192,3,0.5823,0.0,263
2017-01-11,263,0.2917,1,0.5858,0.0,263
2017-01-12,263,0.2976,0,0.5826,0.0,263
2017-01-13,263,0.2864,0,0.57,0.0,263
2017-01-16,263,0.2651,2,0.5605,0.0,263
2017-01-17,263,0.3864,7,0.5543,0.0,263
2017-01-18,263,0.3122,5,0.549,0.0,263
2017-01-19,263,0.3147,3,0.5557,0.0,263
2017-01-20,263,0.4141,8,0.5481,0.0,263
2017-01-23,263,0.3906,6,0.5492,0.0,263
2017-01-24,263,0.3086,2,0.5438,0.0,263
2017-01-25,263,0.3596,6,0.5421,0.0,263
2017-01-26,263,0.3755,8,0.5338,0.0,263
2017-02-03,263,0.3098,4,0.542,0.0,263
2017-02-06,263,0.3961,7,0.5444,0.0,263
2017-02-07,263,0.3237,3,0.5422,0.0,263
2017-02-08,263,0.379,6,0.5471,0.0,263
2017-02-09,263,0.3799,8,0.5425,0.0,263
2017-02-10,263,0.3171,2,0.5379,0.0,263
2017-02-13,263,0.375,9,0.5379,0.0,263
2017-02-14,263,0.3184,3,0.5399,0.0,263
2017-02-15,263,0.2916,2,0.5298,0.0,263
2017-02-16,263,0.3723,6,0.5371,0.0,263
2017-02-17,263,0.2942,1,0.5637,0.0,263
2017-02-20,263,0.3851,9,0.5723,0.0,263
2017-02-21,263,0.3851,6,0.5745,0.0,263
2017-02-22,263,0.3535,4,0.578,0.0,263
2017-02-23,263,0.3316,3,0.5691,0.0,263
2017-02-24,263,0.3606,6,0.5636,0.0,263
2017-02-27,263,0.3018,2,0.5636,0.0,263
2017-02-28,263,0.3674,8,0.5623,0.0,263
2017-03-01,263,0.3447,3,0.5609,0.0,263
2017-03-02,263,0.3007,2,0.5618,0.0,263
2017-03-03,263,0.3478,7,0.5495,0.0,263
2017-03-06,263,0.4014,9,0.5517,0.0,263
2017-03-07,263,0.3473,6,0.5574,0.0,263
2017-03-08,263,0.3078,2,0.5518,0.0,263
2017-03-09,263,0.3001,3,0.561,0.0,263
2017-03-10,263,0.3321,4,0.5695,0.0,263
2017-03-13,263,0.3804,3,0.5641,0.0,263
2017-03-14,263,0.3167,4,0.5584,0.0,263
2017-03-15,263,0.3213,4,0.5547,0.0,263
2017-03-16,263,0.404,7,0.5492,0.0,263
2017-03-17,263,0.2911,3,0.5503,0.0,263
2017-03-20,263,0.3574,6,0.544,0.0,263
2017-03-21,263,0.3404,5,0.5461,0.0,263
2017-03-22,263,0.3079,2,0.5438,0.0,263
2017-03-23,263,0.3272,3,0.5401,0.0,263
2017-03-24,263,0.3465,4,0.5328,0.0,263
2017-03-27,263,0.3189,3,0.5336,0.0,263
2017-03-28,264,0.3155,4,0.5351,0.0,264
2017-03-29,264,0.2971,1,0.5385,0.0,264
2017-03-30,264,0.268,0,0.5288,0.0,264
2017-03-31,264,0.3548,7,0.5334,0.0,264
2017-04-05,264,0.4066,9,0.5149,0.0,264
2017-04-06,264,0.3316,5,0.5192,0.0,264
2017-04-07,264,0.3183,1,0.5187,0.0,264
2017-04-10,264,0.2871,0,0.5175,0.0,264
2017-04-11,264,0.3608,6,0.5247,0.0,264
2017-04-12,264,0.2934,3,0.5181,0.0,264
2017-04-13,264,0.3442,4,0.5236,0.0,264
2017-04-14,264,0.2741,1,0.5152,0.0,264
2017-04-17,264,0.2823,5,0.5058,0.0,264
2017-04-18,264,0.2873,2,0.5078,0.0,264
2017-04-19,264,0.2947,2,0.5082,0.0,264
2017-04-20,264,0.3102,6,0.504,0.0,264
2017-04-21,264,0.311,2,0.5069,0.0,264
2017-04-24,265,0.2591,1,0.5094,0.0,265
2017-04-25,265,0.351,4,0.5027,0.0,265
2017-04-26,265,0.3456,5,0.5008,0.0,265
2017-04-27,265,0.3576,7,0.5056,0.0,265
2017-04-28,265,0.3556,5,0.5135,0.0,265
2017-05-02,265,0.3261,5,0.5065,0.0,265
2017-05-03,265,0.3251,4,0.516,0.0,265
2017-05-04,265,0.3008,1,0.5186,0.0,265
2017-05-05,265,0.2787,2,0.5136,0.0,265
2017-05-08,265,0.274,4,0.5159,0.0,265
2017-05-09,265,0.367,4,0.5172,0.0,265
2017-05-10,265,0.2682,0,0.518,0.0,265
2017-05-11,265,0.3113,1,0.522,0.0,265
2017-05-12,265,0.3181,3,0.5167,0.0,265
2017-05-15,265,0.3356,3,0.5227,0.0,265
2017-05-16,265,0.41,5,0.5287,0.0,265
2017-05-17,265,0.341,3,0.5329,0.0,265
2017-05-18,265,0.297,3,0.5376,0.0,265
2017-05-19,265,0.3213,1,0.5325,0.0,265
2017-05-22,265,0.2712,2,0.528,0.0,265
2017-05-23,265,0.2597,1,0.5148,0.0,265
2017-05-24,265,0.3593,7,0.5166,0.0,265
2017-05-25,265,0.3688,4,0.5154,0.0,265
2017-05-26,265,0.3277,3,0.5138,0.0,265
2017-05-31,265,0.3139,6,0.5042,0.0,265
2017-06-01,265,0.2539,1,0.4974,0.0,265
2017-06-02,265,0.3729,4,0.5056,0.0,265
2017-06-05,265,0.3731,4,0.5079,0.0,265
2017-06-06,265,0.3602,5,0.5088,0.0,265
2017-06-07,265,0.4129,7,0.5034,0.0,265
2017-06-08,265,0.306,2,0.5141,0.0,265
2017-06-09,265,0.3282,3,0.5211,0.0,265
2017-06-12,265,0.2713,1,0.5216,0.0,265
2017-06-13,265,0.3969,6,0.5166,0.0,265
2017-06-14,265,0.3239,3,0.5149,0.0,265
2017-06-15,265,0.3872,5,0.5218,0.0,265
2017-06-16,265,0.3034,0,0.5218,0.0,265
2017-06-19,265,0.3705,5,0.5176,0.0,265
2017-06-20,265,0.3201,2,0.5288,0.0,265
2017-06-21,265,0.3304,3,0.5463,0.0,265
2017-06-22,265,0.2718,3,0.5368,0.0,265
2017-06-23,265,0.3317,3,0.5425,0.0,265
2017-06-26,265,0.395,5,0.5286,0.0,265
2017-06-27,265,0.3383,5,0.5365,0.0,265
