trade_date,industry_count,avg_mainline_strength,active_mainline_count,avg_leader_density,avg_breakout_ratio,row_count
2026-01-05,258,0.3533,0,0.4595,0.0,258
2026-01-06,258,0.3578,0,0.4579,0.0,258
2026-01-07,258,0.2906,0,0.4532,0.0,258
2026-01-08,258,0.3415,0,0.4578,0.0,258
2026-01-09,331,0.3583,6,0.4891,0.0,331
2026-01-12,331,0.3766,7,0.4921,0.0,331
2026-01-13,331,0.2885,4,0.493,0.0,331
2026-01-14,331,0.3252,6,0.4932,0.0,331
2026-01-15,331,0.306,3,0.4995,0.0,331
2026-01-16,331,0.305,4,0.4948,0.0,331
2026-01-19,331,0.3588,2,0.4952,0.0,331
2026-01-20,331,0.3158,5,0.4959,0.0,331
2026-01-21,331,0.3295,4,0.4999,0.0,331
2026-01-22,331,0.3584,7,0.4964,0.0,331
2026-01-23,331,0.3606,5,0.4948,0.0,331
2026-01-26,84,0.3379,4,0.6003,0.0,84
2026-01-27,84,0.3407,5,0.6001,0.0,84
2026-01-28,84,0.3572,6,0.5907,0.0,84
2026-01-29,84,0.3559,6,0.5869,0.0,84
2026-01-30,84,0.3457,3,0.5853,0.0,84
