trade_date,industry_count,avg_mainline_strength,active_mainline_count,avg_leader_density,avg_breakout_ratio,row_count
2017-01-03,263,0.3984,8,0.5663,0.0,263
2017-01-04,263,0.3968,6,0.5602,0.0,263
2017-01-05,263,0.3103,3,0.5697,0.0,263
2017-01-06,263,0.2876,1,0.5672,0.0,263
2017-01-09,263,0.3716,6,0.589,0.0,263
2017-01-10,263,0.3002,3,0.5823,0.0,263
2017-01-11,263,0.2747,1,0.5858,0.0,263
2017-01-12,263,0.2885,0,0.5826,0.0,263
2017-01-13,263,0.2725,0,0.57,0.0,263
2017-01-16,263,0.2452,2,0.5605,0.0,263
2017-01-17,263,0.3874,7,0.5543,0.0,263
2017-01-18,263,0.2919,5,0.549,0.0,263
2017-01-19,263,0.3042,3,0.5557,0.0,263
2017-01-20,263,0.4152,8,0.5481,0.0,263
2017-01-23,263,0.3913,6,0.5492,0.0,263
2017-01-24,263,0.2862,2,0.5438,0.0,263
2017-01-25,263,0.3602,6,0.5421,0.0,263
2017-01-26,263,0.3763,8,0.5338,0.0,263
2017-02-03,263,0.3063,4,0.542,0.0,263
2017-02-06,263,0.3969,7,0.5444,0.0,263
2017-02-07,263,0.3025,3,0.5422,0.0,263
2017-02-08,263,0.3797,6,0.5471,0.0,263
2017-02-09,263,0.3805,8,0.5425,0.0,263
2017-02-10,263,0.2972,2,0.5379,0.0,263
2017-02-13,263,0.3757,9,0.5379,0.0,263
2017-02-14,263,0.2983,3,0.5399,0.0,263
2017-02-15,263,0.2759,2,0.5298,0.0,263
2017-02-16,263,0.3729,6,0.5371,0.0,263
2017-02-17,263,0.2722,1,0.5637,0.0,263
2017-02-20,263,0.386,9,0.5723,0.0,263
2017-02-21,263,0.3859,6,0.5745,0.0,263
2017-02-22,263,0.354,4,0.578,0.0,263
2017-02-23,263,0.3173,3,0.5691,0.0,263
2017-02-24,263,0.3611,6,0.5636,0.0,263
2017-02-27,263,0.2815,2,0.5636,0.0,263
2017-02-28,263,0.3681,8,0.5623,0.0,263
2017-03-01,263,0.3308,3,0.5609,0.0,263
2017-03-02,263,0.2819,2,0.5618,0.0,263
2017-03-03,263,0.3483,7,0.5495,0.0,263
2017-03-06,263,0.4023,9,0.5517,0.0,263
