trade_date,industry_count,avg_mainline_strength,active_mainline_count,avg_leader_density,avg_breakout_ratio,row_count
2023-01-03,258,0.366,0,0.4811,0.0,258
2023-01-04,258,0.3287,0,0.4832,0.0,258
2023-01-05,258,0.3276,0,0.4785,0.0,258
2023-01-06,258,0.2903,0,0.4756,0.0,258
2023-01-09,258,0.3303,0,0.4731,0.0,258
2023-01-10,258,0.2836,0,0.4683,0.0,258
2023-01-11,258,0.2643,0,0.4637,0.0,258
2023-01-12,258,0.2929,0,0.4624,0.0,258
2023-01-13,258,0.3333,0,0.4646,0.0,258
2023-01-16,258,0.3509,0,0.4671,0.0,258
2023-01-17,258,0.2892,0,0.4679,0.0,258
2023-01-18,258,0.3237,0,0.4704,0.0,258
2023-01-19,258,0.3308,0,0.4736,0.0,258
2023-01-20,258,0.3561,0,0.4662,0.0,258
2023-01-30,258,0.3544,0,0.4718,0.0,258
2023-01-31,258,0.3344,0,0.4835,0.0,258
2023-02-01,258,0.3743,0,0.4834,0.0,258
2023-02-02,258,0.31,0,0.4797,0.0,258
2023-02-03,258,0.2852,0,0.4853,0.0,258
2023-02-06,258,0.2895,0,0.4799,0.0,258
2023-02-07,258,0.3427,0,0.4794,0.0,258
2023-02-08,258,0.2777,0,0.4888,0.0,258
2023-02-09,258,0.3719,0,0.4894,0.0,258
2023-02-10,258,0.3136,0,0.4961,0.0,258
2023-02-13,258,0.3523,0,0.5007,0.0,258
2023-02-14,258,0.314,0,0.5054,0.0,258
2023-02-15,258,0.2991,0,0.5039,0.0,258
2023-02-16,258,0.2455,0,0.5027,0.0,258
2023-02-17,258,0.3013,0,0.4987,0.0,258
2023-02-20,258,0.3715,0,0.4984,0.0,258
2023-02-21,258,0.3354,0,0.4957,0.0,258
2023-02-22,258,0.3061,0,0.4954,0.0,258
2023-02-23,258,0.2964,0,0.4959,0.0,258
2023-02-24,258,0.2893,0,0.4963,0.0,258
2023-02-27,258,0.2697,0,0.4893,0.0,258
2023-02-28,258,0.3582,0,0.4893,0.0,258
2023-03-01,258,0.344,0,0.4885,0.0,258
2023-03-02,258,0.2907,0,0.4777,0.0,258
2023-03-03,258,0.3061,0,0.4716,0.0,258
2023-03-06,258,0.3032,0,0.4743,0.0,258
2023-03-07,258,0.2415,0,0.4705,0.0,258
2023-03-08,258,0.3412,0,0.4745,0.0,258
2023-03-09,258,0.298,0,0.476,0.0,258
2023-03-10,258,0.2496,0,0.4802,0.0,258
2023-03-13,258,0.3106,0,0.4792,0.0,258
2023-03-14,258,0.2573,0,0.4739,0.0,258
2023-03-15,258,0.3546,0,0.4855,0.0,258
2023-03-16,258,0.2486,0,0.4777,0.0,258
2023-03-17,258,0.3361,0,0.4844,0.0,258
2023-03-20,258,0.2915,0,0.4867,0.0,258
2023-03-21,258,0.369,0,0.4846,0.0,258
2023-03-22,258,0.3293,0,0.4867,0.0,258
2023-03-23,258,0.2958,0,0.4829,0.0,258
2023-03-24,258,0.3043,0,0.4846,0.0,258
2023-03-27,258,0.2925,0,0.4789,0.0,258
2023-03-28,258,0.2814,0,0.4762,0.0,258
2023-03-29,258,0.276,0,0.4719,0.0,258
2023-03-30,258,0.2961,0,0.4691,0.0,258
2023-03-31,258,0.3445,0,0.47,0.0,258
2023-04-03,258,0.3388,0,0.4714,0.0,258
2023-04-04,258,0.2683,0,0.4577,0.0,258
2023-04-06,258,0.2837,0,0.4492,0.0,258
2023-04-07,258,0.3343,0,0.4484,0.0,258
2023-04-10,258,0.2667,0,0.4543,0.0,258
2023-04-11,258,0.302,0,0.4526,0.0,258
2023-04-12,258,0.323,0,0.4473,0.0,258
2023-04-13,258,0.289,0,0.4494,0.0,258
2023-04-14,258,0.3068,0,0.4478,0.0,258
2023-04-17,258,0.3217,0,0.4454,0.0,258
2023-04-18,258,0.2757,0,0.4431,0.0,258
2023-04-19,258,0.2745,0,0.4412,0.0,258
2023-04-20,258,0.272,0,0.4446,0.0,258
2023-04-21,258,0.2331,0,0.439,0.0,258
2023-04-24,258,0.2861,0,0.4437,0.0,258
2023-04-25,258,0.2509,0,0.4497,0.0,258
2023-04-26,258,0.3455,0,0.458,0.0,258
2023-04-27,258,0.3091,0,0.4577,0.0,258
2023-04-28,258,0.3631,0,0.4674,0.0,258
2023-05-04,258,0.3357,0,0.4741,0.0,258
2023-05-05,258,0.2748,0,0.4777,0.0,258
2023-05-08,258,0.3239,0,0.4765,0.0,258
2023-05-09,258,0.2561,0,0.4728,0.0,258
2023-05-10,258,0.3277,0,0.4829,0.0,258
2023-05-11,258,0.335,0,0.4813,0.0,258
2023-05-12,258,0.2694,0,0.4802,0.0,258
2023-05-15,258,0.3438,0,0.4791,0.0,258
2023-05-16,258,0.2716,0,0.475,0.0,258
2023-05-17,258,0.3438,0,0.4822,0.0,258
2023-05-18,258,0.309,0,0.4903,0.0,258
2023-05-19,258,0.3083,0,0.4898,0.0,258
2023-05-22,258,0.3317,0,0.4959,0.0,258
2023-05-23,258,0.2671,0,0.502,0.0,258
2023-05-24,258,0.2941,0,0.5075,0.0,258
2023-05-25,258,0.2989,0,0.5148,0.0,258
2023-05-26,258,0.3221,0,0.5036,0.0,258
2023-05-29,258,0.284,0,0.4986,0.0,258
2023-05-30,258,0.3226,0,0.4966,0.0,258
2023-05-31,258,0.2865,0,0.4929,0.0,258
2023-06-01,258,0.3245,0,0.4911,0.0,258
2023-06-02,258,0.3502,0,0.4936,0.0,258
2023-06-05,258,0.3216,0,0.5008,0.0,258
2023-06-06,258,0.2512,0,0.4994,0.0,258
2023-06-07,258,0.3205,0,0.4888,0.0,258
2023-06-08,258,0.2983,0,0.489,0.0,258
2023-06-09,258,0.3119,0,0.4828,0.0,258
2023-06-12,258,0.336,0,0.4817,0.0,258
2023-06-13,258,0.3115,0,0.4776,0.0,258
2023-06-14,258,0.3066,0,0.4726,0.0,258
2023-06-15,258,0.3165,0,0.4678,0.0,258
2023-06-16,258,0.3233,0,0.4629,0.0,258
2023-06-19,258,0.2773,0,0.4611,0.0,258
2023-06-20,258,0.2665,0,0.4511,0.0,258
2023-06-21,258,0.2506,0,0.4597,0.0,258
2023-06-26,258,0.2519,0,0.4596,0.0,258
2023-06-27,258,0.3777,0,0.4694,0.0,258
2023-06-28,258,0.3017,0,0.4688,0.0,258
2023-06-29,258,0.3278,0,0.4696,0.0,258
2023-06-30,258,0.3577,0,0.467,0.0,258
2023-07-03,258,0.3405,0,0.4717,0.0,258
2023-07-04,258,0.3163,0,0.4658,0.0,258
2023-07-05,258,0.2732,0,0.4777,0.0,258
2023-07-06,258,0.2937,0,0.4748,0.0,258
2023-07-07,258,0.2974,0,0.4837,0.0,258
2023-07-10,258,0.3177,0,0.4835,0.0,258
2023-07-11,258,0.344,0,0.484,0.0,258
2023-07-12,258,0.261,0,0.4793,0.0,258
2023-07-13,258,0.3564,0,0.4823,0.0,258
2023-07-14,258,0.2996,0,0.4976,0.0,258
2023-07-17,258,0.3019,0,0.4989,0.0,258
2023-07-18,258,0.3244,0,0.501,0.0,258
2023-07-19,258,0.3123,0,0.5034,0.0,258
2023-07-20,258,0.272,0,0.5056,0.0,258
2023-07-21,258,0.3119,0,0.5089,0.0,258
2023-07-24,258,0.3051,0,0.5078,0.0,258
2023-07-25,258,0.3784,0,0.5011,0.0,258
2023-07-26,258,0.3087,0,0.4991,0.0,258
2023-07-27,258,0.2774,0,0.5018,0.0,258
2023-07-28,258,0.3555,0,0.4962,0.0,258
2023-07-31,258,0.3597,0,0.5002,0.0,258
2023-08-01,258,0.2932,0,0.4884,0.0,258
2023-08-02,258,0.2924,0,0.4865,0.0,258
2023-08-03,258,0.2976,0,0.4823,0.0,258
2023-08-04,258,0.293,0,0.4794,0.0,258
2023-08-07,258,0.2763,0,0.477,0.0,258
2023-08-08,258,0.2964,0,0.4796,0.0,258
2023-08-09,258,0.2602,0,0.4816,0.0,258
2023-08-10,258,0.3311,0,0.4815,0.0,258
2023-08-11,258,0.2403,0,0.4795,0.0,258
2023-08-14,258,0.3253,0,0.4775,0.0,258
2023-08-15,258,0.28,0,0.4825,0.0,258
2023-08-16,258,0.2672,0,0.4842,0.0,258
2023-08-17,258,0.3621,0,0.4954,0.0,258
2023-08-18,258,0.2597,0,0.4922,0.0,258
2023-08-21,258,0.2748,0,0.502,0.0,258
2023-08-22,258,0.3089,0,0.4876,0.0,258
2023-08-23,258,0.2489,0,0.4897,0.0,258
2023-08-24,258,0.3064,0,0.4921,0.0,258
2023-08-25,258,0.2579,0,0.4911,0.0,258
2023-08-28,258,0.353,0,0.4933,0.0,258
2023-08-29,258,0.3887,0,0.5013,0.0,258
2023-08-30,258,0.3241,0,0.5016,0.0,258
2023-08-31,258,0.2835,0,0.5017,0.0,258
2023-09-01,258,0.334,0,0.5042,0.0,258
2023-09-04,258,0.3761,0,0.4984,0.0,258
2023-09-05,258,0.2835,0,0.5025,0.0,258
2023-09-06,258,0.3183,0,0.501,0.0,258
2023-09-07,258,0.2486,0,0.4995,0.0,258
2023-09-08,258,0.3091,0,0.4977,0.0,258
2023-09-11,258,0.3544,0,0.496,0.0,258
2023-09-12,258,0.2986,0,0.4986,0.0,258
2023-09-13,258,0.2618,0,0.4916,0.0,258
2023-09-14,258,0.2706,0,0.4833,0.0,258
2023-09-15,258,0.3187,0,0.4843,0.0,258
2023-09-18,258,0.3466,0,0.4947,0.0,258
2023-09-19,258,0.2696,0,0.4928,0.0,258
2023-09-20,258,0.2715,0,0.4959,0.0,258
2023-09-21,258,0.263,0,0.4986,0.0,258
2023-09-22,258,0.3795,0,0.5002,0.0,258
2023-09-25,258,0.2762,0,0.4867,0.0,258
2023-09-26,258,0.2733,0,0.48,0.0,258
2023-09-27,258,0.325,0,0.4851,0.0,258
2023-09-28,258,0.3503,0,0.4946,0.0,258
2023-10-09,258,0.277,0,0.4852,0.0,258
2023-10-10,258,0.2852,0,0.4838,0.0,258
2023-10-11,258,0.3004,0,0.4785,0.0,258
2023-10-12,258,0.3391,0,0.4772,0.0,258
2023-10-13,258,0.2613,0,0.4711,0.0,258
2023-10-16,258,0.2849,0,0.4766,0.0,258
2023-10-17,258,0.304,0,0.4831,0.0,258
2023-10-18,258,0.242,0,0.4801,0.0,258
2023-10-19,258,0.265,0,0.4883,0.0,258
2023-10-20,258,0.2742,0,0.4885,0.0,258
2023-10-23,258,0.2366,0,0.4764,0.0,258
2023-10-24,258,0.3849,0,0.4908,0.0,258
2023-10-25,258,0.3617,0,0.4913,0.0,258
2023-10-26,258,0.318,0,0.4879,0.0,258
2023-10-27,258,0.3661,0,0.4854,0.0,258
2023-10-30,258,0.3429,0,0.4859,0.0,258
2023-10-31,258,0.2992,0,0.4911,0.0,258
2023-11-01,258,0.3249,0,0.4945,0.0,258
2023-11-02,258,0.2626,0,0.4915,0.0,258
2023-11-03,258,0.3483,0,0.4945,0.0,258
2023-11-06,258,0.3748,0,0.4942,0.0,258
2023-11-07,258,0.3205,0,0.4958,0.0,258
2023-11-08,258,0.298,0,0.4978,0.0,258
2023-11-09,258,0.2832,0,0.5062,0.0,258
2023-11-10,258,0.3035,0,0.5106,0.0,258
