trade_date,industry_count,avg_capital_flow_score,avg_flow_strength,avg_market_share,row_count
2017-01-03,303,0.1466,0.267,0.0555,303
2017-01-04,303,0.1825,0.2982,0.0556,303
2017-01-05,303,0.1793,0.3004,0.0557,303
2017-01-06,303,0.1808,0.3024,0.0553,303
2017-01-09,303,0.1688,0.2859,0.0554,303
2017-01-10,303,0.1694,0.2828,0.0551,303
2017-01-11,303,0.1697,0.283,0.0553,303
2017-01-12,303,0.1625,0.2722,0.0554,303
2017-01-13,303,0.1709,0.2842,0.0552,303
2017-01-16,303,0.1906,0.3262,0.0551,303
2017-01-17,303,0.1581,0.2839,0.0552,303
2017-01-18,303,0.1549,0.2532,0.0548,303
2017-01-19,303,0.1592,0.2535,0.055,303
2017-01-20,303,0.1622,0.2619,0.0546,303
2017-01-23,303,0.1614,0.2602,0.055,303
2017-01-24,303,0.1544,0.2486,0.0546,303
2017-01-25,303,0.1525,0.2392,0.055,303
2017-01-26,303,0.1488,0.2298,0.0552,303
2017-02-03,303,0.1415,0.2155,0.0547,303
2017-02-06,303,0.1735,0.2637,0.0556,303
2017-02-07,303,0.1688,0.2705,0.0557,303
2017-02-08,303,0.1718,0.2794,0.0547,303
2017-02-09,303,0.182,0.2996,0.0549,303
2017-02-10,303,0.1795,0.303,0.0548,303
2017-02-13,303,0.1773,0.2998,0.055,303
2017-02-14,303,0.1695,0.2857,0.055,303
2017-02-15,303,0.1882,0.3111,0.0554,303
2017-02-16,303,0.1737,0.2941,0.0552,303
2017-02-17,303,0.1828,0.3071,0.0542,303
2017-02-20,303,0.1777,0.3038,0.0548,303
2017-02-21,303,0.1785,0.3055,0.0551,303
2017-02-22,303,0.1807,0.3107,0.0553,303
2017-02-23,303,0.1838,0.3147,0.0552,303
2017-02-24,303,0.1788,0.3077,0.0557,303
2017-02-27,303,0.1777,0.3052,0.0559,303
2017-02-28,303,0.1698,0.2902,0.0555,303
2017-03-01,303,0.1829,0.3078,0.0554,303
2017-03-02,303,0.1771,0.3041,0.0553,303
2017-03-03,303,0.1715,0.2941,0.0553,303
2017-03-06,303,0.1797,0.3074,0.0556,303
2017-03-07,303,0.1807,0.3129,0.0557,303
2017-03-08,303,0.1765,0.3051,0.0559,303
2017-03-09,303,0.176,0.2993,0.0559,303
2017-03-10,303,0.1684,0.2876,0.0553,303
2017-03-13,303,0.1797,0.3017,0.0553,303
2017-03-14,303,0.1765,0.2988,0.0552,303
2017-03-15,303,0.1734,0.2909,0.0553,303
2017-03-16,303,0.1891,0.3158,0.0548,303
2017-03-17,303,0.1905,0.3281,0.0549,303
2017-03-20,303,0.1752,0.3055,0.0551,303
2017-03-21,303,0.1805,0.3028,0.0552,303
2017-03-22,303,0.1882,0.3182,0.0554,303
2017-03-23,303,0.1912,0.3262,0.0554,303
2017-03-24,303,0.1825,0.3113,0.0547,303
2017-03-27,303,0.1841,0.313,0.0552,303
2017-03-28,304,0.178,0.3,0.0552,304
2017-03-29,304,0.1892,0.3174,0.0548,304
2017-03-30,304,0.192,0.3339,0.0551,304
2017-03-31,304,0.1698,0.2936,0.0551,304
2017-04-05,304,0.1876,0.3097,0.0549,304
2017-04-06,304,0.1771,0.3017,0.0542,304
2017-04-07,304,0.1811,0.3028,0.0543,304
2017-04-10,304,0.1908,0.3265,0.0542,304
2017-04-11,304,0.1919,0.3291,0.0536,304
2017-04-12,304,0.1806,0.3104,0.0513,304
2017-04-13,304,0.1655,0.2834,0.0524,304
2017-04-14,304,0.1799,0.2992,0.0539,304
2017-04-17,304,0.174,0.2958,0.0525,304
2017-04-18,304,0.169,0.28,0.0526,304
2017-04-19,304,0.1804,0.3017,0.0537,304
2017-04-20,304,0.1712,0.2849,0.0529,304
2017-04-21,304,0.1584,0.2565,0.0527,304
2017-04-24,304,0.1724,0.2792,0.0538,304
2017-04-25,304,0.1661,0.268,0.0529,304
2017-04-26,304,0.1729,0.2719,0.0525,304
2017-04-27,304,0.1898,0.3111,0.0526,304
2017-04-28,304,0.1662,0.2754,0.0526,304
2017-05-02,304,0.1697,0.2696,0.0524,304
2017-05-03,304,0.1788,0.2819,0.0527,304
2017-05-04,304,0.1767,0.2812,0.0522,304
2017-05-05,304,0.1768,0.2828,0.0533,304
2017-05-08,304,0.1716,0.2771,0.0533,304
2017-05-09,304,0.1656,0.2705,0.0543,304
2017-05-10,304,0.1774,0.2818,0.0537,304
2017-05-11,304,0.18,0.298,0.0541,304
2017-05-12,304,0.1644,0.2701,0.0525,304
2017-05-15,304,0.1674,0.2597,0.0528,304
2017-05-16,304,0.193,0.3019,0.0535,304
2017-05-17,304,0.1839,0.303,0.0533,304
2017-05-18,304,0.1714,0.2824,0.053,304
2017-05-19,304,0.1679,0.2656,0.0536,304
2017-05-22,304,0.1807,0.287,0.0543,304
2017-05-23,304,0.1833,0.2989,0.0543,304
2017-05-24,304,0.1645,0.272,0.0543,304
2017-05-25,304,0.1802,0.2849,0.0523,304
2017-05-26,304,0.1731,0.27,0.0532,304
2017-05-31,304,0.1802,0.279,0.0534,304
2017-06-01,304,0.1775,0.2839,0.0538,304
2017-06-02,304,0.1677,0.2761,0.0538,304
2017-06-05,304,0.1637,0.2623,0.0536,304
2017-06-06,304,0.1633,0.2522,0.0533,304
2017-06-07,304,0.1955,0.3086,0.0538,304
2017-06-08,304,0.179,0.2962,0.0539,304
2017-06-09,304,0.1764,0.2837,0.0538,304
2017-06-12,304,0.174,0.2808,0.0538,304
2017-06-13,304,0.1715,0.277,0.0544,304
2017-06-14,304,0.1778,0.2832,0.0542,304
2017-06-15,304,0.1868,0.3078,0.0547,304
2017-06-16,304,0.1709,0.2839,0.0539,304
2017-06-19,304,0.1673,0.2712,0.054,304
2017-06-20,304,0.1793,0.2869,0.054,304
2017-06-21,304,0.1754,0.2804,0.0542,304
