trade_date,industry_count,avg_capital_flow_score,avg_flow_strength,avg_market_share,row_count
2023-01-03,287,0.165,0.3018,0.0571,287
2023-01-04,287,0.1816,0.3027,0.057,287
2023-01-05,287,0.1839,0.304,0.0562,287
2023-01-06,287,0.1887,0.3115,0.0577,287
2023-01-09,287,0.1804,0.2971,0.0571,287
2023-01-10,287,0.1759,0.2884,0.0569,287
2023-01-11,287,0.1791,0.2908,0.0575,287
2023-01-12,287,0.1708,0.2769,0.0572,287
2023-01-13,287,0.1754,0.2792,0.0567,287
2023-01-16,287,0.1831,0.2935,0.0551,287
2023-01-17,287,0.1659,0.2745,0.0564,287
2023-01-18,287,0.1634,0.2642,0.0567,287
2023-01-19,287,0.1664,0.266,0.0558,287
2023-01-20,287,0.1689,0.2715,0.0562,287
2023-01-30,287,0.1967,0.3237,0.0565,287
2023-01-31,287,0.18,0.3091,0.0571,287
2023-02-01,287,0.1906,0.3254,0.0572,287
2023-02-02,287,0.1901,0.3281,0.0564,287
2023-02-03,287,0.1806,0.3138,0.0567,287
2023-02-06,287,0.1768,0.3017,0.0556,287
2023-02-07,287,0.1765,0.3008,0.056,287
2023-02-08,287,0.1775,0.3028,0.0565,287
2023-02-09,287,0.1802,0.3085,0.0558,287
2023-02-10,287,0.1798,0.3112,0.0563,287
2023-02-13,287,0.1894,0.325,0.0568,287
2023-02-14,287,0.1828,0.32,0.057,287
2023-02-15,287,0.1782,0.3116,0.0558,287
2023-02-16,287,0.1995,0.3481,0.0554,287
2023-02-17,287,0.1692,0.3051,0.0548,287
2023-02-20,287,0.1779,0.3014,0.0555,287
2023-02-21,287,0.174,0.2976,0.0558,287
2023-02-22,287,0.164,0.2815,0.0556,287
2023-02-23,287,0.1726,0.2894,0.056,287
2023-02-24,287,0.1599,0.2705,0.0553,287
2023-02-27,287,0.1696,0.2819,0.0566,287
2023-02-28,287,0.1639,0.2742,0.0551,287
2023-03-01,287,0.1724,0.2845,0.0539,287
2023-03-02,287,0.1761,0.2972,0.0554,287
2023-03-03,287,0.1694,0.2892,0.0557,287
2023-03-06,287,0.1789,0.2957,0.0565,287
2023-03-07,287,0.1793,0.3062,0.0568,287
2023-03-08,287,0.1568,0.2692,0.056,287
2023-03-09,287,0.1669,0.2751,0.0561,287
2023-03-10,287,0.1703,0.2844,0.0558,287
