trade_date,industry_count,avg_capital_flow_score,avg_flow_strength,avg_market_share,row_count
2021-01-04,304,0.1776,0.3188,0.0521,304
2021-01-05,304,0.1973,0.3256,0.0521,304
2021-01-06,304,0.1929,0.323,0.0524,304
2021-01-07,304,0.2012,0.3374,0.0529,304
2021-01-08,304,0.1877,0.31,0.0522,304
2021-01-11,304,0.197,0.3175,0.0521,304
2021-01-12,304,0.1823,0.2914,0.0506,304
2021-01-13,304,0.2,0.3135,0.0516,304
2021-01-14,304,0.1886,0.3026,0.0521,304
2021-01-15,304,0.1879,0.3001,0.0516,304
2021-01-18,304,0.1874,0.2988,0.0521,304
2021-01-19,304,0.1936,0.306,0.0524,304
2021-01-20,304,0.1825,0.2911,0.0524,304
2021-01-21,304,0.197,0.3087,0.0525,304
2021-01-22,304,0.1941,0.3107,0.0526,304
2021-01-25,304,0.1985,0.314,0.0522,304
2021-01-26,304,0.1851,0.2982,0.0524,304
2021-01-27,304,0.1853,0.2903,0.053,304
2021-01-28,304,0.1864,0.2909,0.0528,304
2021-01-29,304,0.1904,0.3038,0.0527,304
2021-02-01,304,0.1853,0.2948,0.0532,304
2021-02-02,304,0.1874,0.2914,0.0528,304
2021-02-03,304,0.1918,0.298,0.0532,304
2021-02-04,304,0.1899,0.3013,0.0526,304
2021-02-05,304,0.1879,0.292,0.0527,304
2021-02-08,304,0.1801,0.2746,0.0525,304
2021-02-09,304,0.1837,0.2744,0.0525,304
2021-02-10,304,0.1821,0.2708,0.052,304
2021-02-18,304,0.2011,0.3013,0.0524,304
2021-02-19,304,0.1962,0.3112,0.0532,304
2021-02-22,304,0.2125,0.3438,0.0534,304
2021-02-23,304,0.1888,0.3137,0.0535,304
2021-02-24,304,0.1959,0.3112,0.0531,304
2021-02-25,304,0.1886,0.3027,0.0529,304
2021-02-26,304,0.1882,0.2975,0.053,304
2021-03-01,304,0.1883,0.2994,0.0536,304
2021-03-02,304,0.192,0.3019,0.0537,304
2021-03-03,304,0.185,0.2987,0.0538,304
2021-03-04,304,0.1965,0.3142,0.0538,304
2021-03-05,304,0.1846,0.3058,0.0536,304
2021-03-08,304,0.1988,0.3219,0.0539,304
2021-03-09,304,0.1967,0.3283,0.0538,304
2021-03-10,304,0.1769,0.2927,0.0537,304
2021-03-11,304,0.1839,0.2907,0.0534,304
2021-03-12,304,0.1856,0.2944,0.0535,304
2021-03-15,304,0.1829,0.2889,0.0538,304
2021-03-16,304,0.1832,0.2921,0.0543,304
2021-03-17,304,0.185,0.298,0.0542,304
2021-03-18,304,0.1888,0.3047,0.0543,304
2021-03-19,304,0.1909,0.3109,0.0543,304
2021-03-22,304,0.1874,0.3091,0.0541,304
2021-03-23,304,0.1911,0.3152,0.0542,304
2021-03-24,304,0.1856,0.3055,0.0535,304
2021-03-25,304,0.1793,0.2951,0.0539,304
2021-03-26,304,0.185,0.2948,0.0537,304
2021-03-29,304,0.1855,0.3009,0.0539,304
2021-03-30,304,0.1851,0.3046,0.0543,304
2021-03-31,304,0.1811,0.2924,0.0543,304
2021-04-01,304,0.1804,0.2917,0.0546,304
2021-04-02,304,0.1873,0.2989,0.0542,304
2021-04-06,304,0.1818,0.2958,0.0546,304
2021-04-07,304,0.1921,0.3102,0.0544,304
2021-04-08,304,0.1931,0.3199,0.0543,304
2021-04-09,304,0.1843,0.3022,0.0545,304
2021-04-12,304,0.1936,0.3106,0.0543,304
2021-04-13,304,0.1807,0.2984,0.054,304
2021-04-14,304,0.1822,0.2934,0.0537,304
2021-04-15,304,0.1822,0.2966,0.0539,304
2021-04-16,304,0.1853,0.3071,0.0543,304
