trade_date,industry_count,avg_capital_flow_score,avg_flow_strength,avg_market_share,row_count
2015-01-05,303,0.1862,0.3277,0.0459,303
2015-01-06,303,0.2081,0.3413,0.0478,303
2015-01-07,303,0.1851,0.3038,0.0468,303
2015-01-08,303,0.1925,0.3073,0.0481,303
2015-01-09,303,0.1919,0.3046,0.0462,303
2015-01-12,303,0.1777,0.2845,0.0468,303
2015-01-13,303,0.1763,0.2749,0.0488,303
2015-01-14,303,0.175,0.2723,0.0484,303
2015-01-15,303,0.1734,0.2648,0.0444,303
2015-01-16,303,0.1927,0.2979,0.0465,303
2015-01-19,303,0.2134,0.3464,0.0502,303
2015-01-20,303,0.197,0.3334,0.0469,303
2015-01-21,303,0.2136,0.3617,0.0482,303
2015-01-22,303,0.2046,0.3536,0.0503,303
2015-01-23,303,0.204,0.346,0.0491,303
2015-01-26,303,0.2009,0.3381,0.0503,303
2015-01-27,303,0.2106,0.3552,0.0505,303
2015-01-28,303,0.1959,0.3354,0.0509,303
2015-01-29,303,0.1821,0.3066,0.0504,303
2015-01-30,303,0.1868,0.3057,0.0507,303
2015-02-02,303,0.1805,0.2911,0.0504,303
2015-02-03,303,0.1897,0.3054,0.0498,303
2015-02-04,303,0.191,0.3069,0.0503,303
2015-02-05,303,0.1955,0.3178,0.049,303
2015-02-06,303,0.1825,0.3043,0.0506,303
2015-02-09,303,0.1661,0.2655,0.0471,303
2015-02-10,303,0.163,0.2511,0.0473,303
2015-02-11,303,0.1749,0.264,0.0496,303
2015-02-12,303,0.1789,0.2787,0.0503,303
2015-02-13,303,0.2006,0.3203,0.051,303
2015-02-16,303,0.1919,0.319,0.0519,303
2015-02-17,303,0.1865,0.3063,0.052,303
2015-02-25,303,0.1895,0.3067,0.0524,303
2015-02-26,303,0.1896,0.3107,0.05,303
2015-02-27,303,0.1975,0.3292,0.0516,303
2015-03-02,303,0.2201,0.371,0.0516,303
2015-03-03,303,0.2186,0.3793,0.0525,303
2015-03-04,303,0.204,0.3623,0.0534,303
2015-03-05,303,0.2137,0.3724,0.0532,303
2015-03-06,303,0.2036,0.3627,0.0535,303
2015-03-09,303,0.1981,0.3471,0.0509,303
2015-03-10,303,0.2061,0.3563,0.0531,303
2015-03-11,302,0.2053,0.3556,0.0533,302
2015-03-12,302,0.2037,0.3527,0.0506,302
2015-03-13,302,0.1952,0.3383,0.0512,302
2015-03-16,302,0.2299,0.3955,0.0528,302
2015-03-17,302,0.2302,0.4071,0.0524,302
2015-03-18,302,0.2255,0.4052,0.0522,302
2015-03-19,302,0.2265,0.4062,0.053,302
2015-03-20,301,0.2205,0.3994,0.0501,301
2015-03-23,302,0.2306,0.4135,0.0521,302
2015-03-24,302,0.2375,0.4248,0.0529,302
2015-03-25,302,0.2262,0.4151,0.0532,302
2015-03-26,302,0.2275,0.4115,0.0532,302
2015-03-27,302,0.2109,0.3867,0.0524,302
2015-03-30,302,0.2282,0.4059,0.0507,302
2015-03-31,302,0.2253,0.406,0.0501,302
2015-04-01,302,0.2221,0.4056,0.0521,302
2015-04-02,302,0.2297,0.4153,0.0531,302
2015-04-03,302,0.2259,0.4163,0.0526,302
2015-04-07,301,0.2314,0.4224,0.0525,301
2015-04-08,302,0.2314,0.4228,0.0513,302
2015-04-09,301,0.2252,0.4186,0.0502,301
2015-04-10,301,0.2201,0.4067,0.0515,301
2015-04-13,301,0.2321,0.4184,0.0523,301
2015-04-14,301,0.2288,0.4153,0.0522,301
2015-04-15,301,0.2236,0.4093,0.052,301
2015-04-16,301,0.2182,0.3947,0.0518,301
2015-04-17,301,0.2349,0.4115,0.0516,301
2015-04-20,301,0.2354,0.4196,0.0509,301
2015-04-21,301,0.2181,0.399,0.0515,301
2015-04-22,301,0.2357,0.4153,0.0514,301
2015-04-23,301,0.2319,0.4167,0.052,301
2015-04-24,302,0.228,0.4127,0.0525,302
2015-04-27,302,0.2322,0.4185,0.0525,302
2015-04-28,302,0.2272,0.4142,0.0509,302
2015-04-29,302,0.2125,0.3835,0.0517,302
2015-04-30,301,0.223,0.3926,0.0519,301
2015-05-04,301,0.2136,0.3802,0.0518,301
2015-05-05,301,0.2231,0.39,0.0513,301
2015-05-06,301,0.2141,0.3809,0.0513,301
2015-05-07,301,0.202,0.3603,0.0518,301
2015-05-08,301,0.22,0.3793,0.0524,301
2015-05-11,301,0.2353,0.4072,0.0528,301
2015-05-12,301,0.2318,0.4127,0.0528,301
2015-05-13,301,0.2301,0.4141,0.0537,301
2015-05-14,301,0.2232,0.4056,0.0539,301
2015-05-15,301,0.2228,0.4019,0.0539,301
2015-05-18,301,0.2227,0.4008,0.0545,301
2015-05-19,302,0.226,0.4031,0.0529,302
2015-05-20,302,0.235,0.4174,0.0539,302
2015-05-21,302,0.228,0.4136,0.0546,302
2015-05-22,302,0.2404,0.4243,0.0538,302
2015-05-25,302,0.2352,0.4269,0.0532,302
2015-05-26,302,0.236,0.4257,0.0535,302
2015-05-27,302,0.2351,0.4263,0.0539,302
2015-05-28,301,0.2395,0.4318,0.0542,301
2015-05-29,301,0.228,0.4259,0.0546,301
2015-06-01,300,0.2287,0.4189,0.0544,300
2015-06-02,300,0.2359,0.4248,0.055,300
2015-06-03,300,0.2321,0.4269,0.0549,300
2015-06-04,300,0.2314,0.4257,0.054,300
2015-06-05,300,0.2384,0.428,0.0541,300
2015-06-08,299,0.231,0.4272,0.0532,299
2015-06-09,299,0.2233,0.4142,0.0532,299
2015-06-10,299,0.2295,0.4185,0.0547,299
2015-06-11,300,0.2282,0.4164,0.0546,300
2015-06-12,300,0.234,0.4227,0.055,300
2015-06-15,300,0.2313,0.4246,0.0546,300
2015-06-16,299,0.2227,0.4145,0.0548,299
2015-06-17,299,0.2193,0.4065,0.0545,299
2015-06-18,299,0.2174,0.3979,0.0542,299
2015-06-19,299,0.21,0.3879,0.0541,299
2015-06-23,299,0.2188,0.3976,0.0542,299
2015-06-24,299,0.2252,0.4041,0.0541,299
2015-06-25,298,0.2255,0.4067,0.0539,298
2015-06-26,299,0.2147,0.3946,0.0533,299
2015-06-29,299,0.2341,0.4174,0.0531,299
2015-06-30,299,0.2369,0.4293,0.0538,299
2015-07-01,299,0.2287,0.4208,0.0544,299
2015-07-02,299,0.2234,0.4155,0.0533,299
2015-07-03,299,0.2263,0.4153,0.0531,299
2015-07-06,299,0.2442,0.4321,0.0514,299
2015-07-07,297,0.2105,0.3442,0.0453,297
2015-07-08,283,0.2661,0.4034,0.0507,283
2015-07-09,284,0.2447,0.43,0.0493,284
2015-07-10,284,0.2267,0.3753,0.0459,284
2015-07-13,291,0.2622,0.4004,0.0513,291
2015-07-14,295,0.2616,0.4142,0.0538,295
2015-07-15,296,0.2352,0.4239,0.0542,296
2015-07-16,296,0.228,0.4242,0.0549,296
2015-07-17,297,0.2317,0.4199,0.0548,297
2015-07-20,299,0.2381,0.4222,0.0548,299
2015-07-21,299,0.2279,0.4185,0.0547,299
2015-07-22,299,0.2343,0.4209,0.0552,299
2015-07-23,299,0.2349,0.4265,0.0552,299
2015-07-24,299,0.2381,0.429,0.0552,299
2015-07-27,300,0.2279,0.4259,0.0548,300
2015-07-28,300,0.2293,0.4272,0.0541,300
2015-07-29,301,0.2219,0.4145,0.0543,301
2015-07-30,301,0.2306,0.4183,0.0544,301
2015-07-31,301,0.21,0.394,0.0543,301
2015-08-03,302,0.2197,0.3951,0.0542,302
2015-08-04,302,0.225,0.4032,0.0545,302
2015-08-05,302,0.2253,0.4085,0.0546,302
2015-08-06,302,0.2063,0.3808,0.0549,302
2015-08-07,302,0.2291,0.4046,0.0549,302
2015-08-10,302,0.2382,0.4218,0.0544,302
2015-08-11,302,0.2334,0.4232,0.0548,302
2015-08-12,302,0.2212,0.4126,0.0548,302
2015-08-13,302,0.2248,0.4118,0.0546,302
2015-08-14,302,0.2316,0.4181,0.0544,302
2015-08-17,302,0.2282,0.4172,0.0544,302
2015-08-18,302,0.235,0.4244,0.0541,302
2015-08-19,302,0.2242,0.4178,0.0544,302
2015-08-20,302,0.2187,0.401,0.0542,302
2015-08-21,302,0.2161,0.3962,0.0543,302
2015-08-24,302,0.1936,0.3458,0.053,302
2015-08-25,301,0.215,0.369,0.0534,301
2015-08-26,301,0.2392,0.4198,0.0542,301
2015-08-27,301,0.2202,0.4055,0.0537,301
2015-08-28,301,0.2351,0.4158,0.0542,301
2015-08-31,301,0.2163,0.3958,0.0534,301
2015-09-01,301,0.212,0.3834,0.0521,301
2015-09-02,301,0.2232,0.3913,0.0524,301
2015-09-07,301,0.2108,0.3746,0.0537,301
2015-09-08,301,0.2047,0.3667,0.054,301
2015-09-09,301,0.2427,0.4126,0.0543,301
2015-09-10,302,0.2066,0.3777,0.0541,302
2015-09-11,302,0.1998,0.3552,0.0538,302
2015-09-14,302,0.2252,0.3883,0.0536,302
2015-09-15,302,0.1967,0.3596,0.0539,302
2015-09-16,302,0.2199,0.3802,0.0541,302
2015-09-17,302,0.2284,0.3977,0.0542,302
2015-09-18,302,0.1929,0.3479,0.0538,302
2015-09-21,302,0.2157,0.372,0.054,302
2015-09-22,300,0.2235,0.3906,0.0545,300
2015-09-23,300,0.2091,0.3772,0.0548,300
2015-09-24,301,0.2085,0.3689,0.0543,301
2015-09-25,301,0.212,0.3723,0.0543,301
2015-09-28,301,0.1856,0.3308,0.0541,301
2015-09-29,301,0.1959,0.3323,0.0541,301
2015-09-30,301,0.1839,0.3162,0.0544,301
2015-10-08,300,0.222,0.3766,0.055,300
2015-10-09,300,0.2107,0.3793,0.0551,300
2015-10-12,300,0.2379,0.4167,0.0551,300
2015-10-13,300,0.2151,0.4017,0.0552,300
2015-10-14,300,0.2224,0.4007,0.0553,300
2015-10-15,300,0.2257,0.4065,0.0551,300
2015-10-16,300,0.2333,0.4178,0.0549,300
2015-10-19,300,0.229,0.4164,0.0548,300
2015-10-20,300,0.2234,0.4089,0.0551,300
2015-10-21,300,0.2389,0.424,0.055,300
2015-10-22,300,0.2178,0.4061,0.0548,300
2015-10-23,300,0.2321,0.4151,0.0547,300
2015-10-26,300,0.2304,0.4186,0.0546,300
2015-10-27,300,0.2233,0.4112,0.0551,300
2015-10-28,300,0.2212,0.4063,0.0553,300
2015-10-29,300,0.212,0.3906,0.0554,300
2015-10-30,300,0.2173,0.3926,0.0546,300
2015-11-02,301,0.2138,0.3895,0.055,301
2015-11-03,301,0.2057,0.3737,0.0555,301
2015-11-04,301,0.2334,0.4127,0.0545,301
2015-11-05,301,0.234,0.4244,0.053,301
2015-11-06,301,0.2179,0.4139,0.053,301
2015-11-09,301,0.2317,0.4235,0.0532,301
2015-11-10,301,0.2239,0.418,0.0536,301
2015-11-11,301,0.2216,0.413,0.0542,301
2015-11-12,301,0.2263,0.4165,0.0546,301
2015-11-13,301,0.2205,0.4119,0.0545,301
