trade_date,industry_count,avg_capital_flow_score,avg_flow_strength,avg_market_share,row_count
2025-01-02,285,0.1837,0.3463,0.0549,285
2025-01-03,285,0.1953,0.348,0.0555,285
2025-01-06,285,0.1817,0.3212,0.0555,285
2025-01-07,285,0.1856,0.3167,0.0543,285
2025-01-08,285,0.1995,0.3353,0.0546,285
2025-01-09,285,0.1825,0.3118,0.0542,285
2025-01-10,285,0.19,0.3209,0.0541,285
2025-01-13,285,0.1775,0.3021,0.0546,285
2025-01-14,285,0.2044,0.3403,0.0537,285
2025-01-15,285,0.1863,0.3226,0.054,285
2025-01-16,285,0.1943,0.3299,0.0536,285
2025-01-17,285,0.1829,0.3153,0.0538,285
2025-01-20,285,0.1907,0.3248,0.0544,285
2025-01-21,285,0.1873,0.3198,0.0533,285
2025-01-22,285,0.1798,0.3066,0.0527,285
2025-01-23,285,0.1934,0.3266,0.0526,285
2025-01-24,285,0.18,0.3131,0.0526,285
2025-01-27,285,0.178,0.3073,0.0528,285
2025-02-05,285,0.1823,0.3082,0.0512,285
2025-02-06,285,0.1932,0.3275,0.0511,285
2025-02-07,285,0.2101,0.3567,0.051,285
2025-02-10,285,0.1932,0.3438,0.0512,285
2025-02-11,285,0.1904,0.3347,0.0513,285
2025-02-12,285,0.1956,0.3356,0.0514,285
2025-02-13,285,0.2008,0.3434,0.0511,285
2025-02-14,285,0.1932,0.3359,0.0507,285
2025-02-17,285,0.2029,0.3488,0.0506,285
2025-02-18,285,0.1986,0.3507,0.0518,285
2025-02-19,285,0.1918,0.3334,0.0517,285
2025-02-20,285,0.1985,0.3416,0.0521,285
2025-02-21,285,0.207,0.3534,0.0508,285
2025-02-24,285,0.205,0.3583,0.0518,285
2025-02-25,285,0.1963,0.3467,0.0516,285
2025-02-26,285,0.1991,0.3472,0.0515,285
2025-02-27,285,0.2058,0.3585,0.052,285
2025-02-28,285,0.2022,0.3597,0.0526,285
2025-03-03,285,0.1966,0.3493,0.0533,285
2025-03-04,285,0.1851,0.3277,0.0526,285
2025-03-05,285,0.1909,0.3318,0.0522,285
2025-03-06,285,0.2057,0.3526,0.0517,285
2025-03-07,285,0.1977,0.3485,0.052,285
2025-03-10,285,0.19,0.3363,0.0533,285
2025-03-11,285,0.1938,0.3369,0.0536,285
2025-03-12,285,0.2014,0.3496,0.0531,285
2025-03-13,285,0.196,0.3492,0.0534,285
2025-03-14,285,0.2045,0.3621,0.0533,285
2025-03-17,284,0.196,0.3543,0.0546,284
2025-03-18,284,0.1939,0.3444,0.0542,284
2025-03-19,283,0.192,0.3385,0.0543,283
2025-03-20,283,0.1924,0.3373,0.0545,283
2025-03-21,283,0.1984,0.3487,0.0547,283
2025-03-24,284,0.2004,0.3615,0.0558,284
2025-03-25,284,0.1889,0.3364,0.0559,284
2025-03-26,284,0.1894,0.332,0.0563,284
2025-03-27,283,0.1922,0.3321,0.0563,283
2025-03-28,283,0.1873,0.3285,0.0568,283
2025-03-31,283,0.1929,0.3346,0.0561,283
2025-04-01,283,0.1843,0.3244,0.056,283
2025-04-02,283,0.1781,0.3076,0.0563,283
2025-04-03,283,0.1955,0.3284,0.0565,283
2025-04-07,283,0.2133,0.3689,0.0561,283
2025-04-08,283,0.2132,0.3824,0.0568,283
2025-04-09,283,0.2146,0.3861,0.0564,283
2025-04-10,283,0.2085,0.3755,0.0565,283
2025-04-11,283,0.1943,0.3509,0.056,283
2025-04-14,283,0.1984,0.3505,0.0566,283
2025-04-15,283,0.1907,0.3347,0.0577,283
2025-04-16,283,0.1943,0.3378,0.0576,283
2025-04-17,283,0.1858,0.326,0.0572,283
2025-04-18,283,0.1852,0.3211,0.057,283
2025-04-21,283,0.1917,0.3278,0.0565,283
2025-04-22,283,0.1951,0.3369,0.0569,283
2025-04-23,283,0.1989,0.3444,0.0561,283
2025-04-24,283,0.1941,0.3429,0.0569,283
2025-04-25,283,0.1957,0.3415,0.0567,283
2025-04-28,283,0.1936,0.3395,0.0573,283
2025-04-29,283,0.1898,0.3287,0.0568,283
2025-04-30,282,0.1967,0.3386,0.0561,282
2025-05-06,281,0.2011,0.3529,0.056,281
2025-05-07,281,0.2066,0.3676,0.0557,281
2025-05-08,281,0.1949,0.3532,0.0555,281
2025-05-09,281,0.1909,0.3435,0.0555,281
2025-05-12,281,0.1935,0.3411,0.0548,281
2025-05-13,280,0.1953,0.3449,0.0558,280
2025-05-14,280,0.1922,0.3407,0.055,280
2025-05-15,280,0.1891,0.3323,0.0567,280
2025-05-16,280,0.1897,0.3292,0.0571,280
2025-05-19,280,0.1946,0.3396,0.0576,280
2025-05-20,280,0.2023,0.352,0.0583,280
2025-05-21,280,0.1978,0.3472,0.0581,280
2025-05-22,280,0.1924,0.3433,0.0581,280
2025-05-23,280,0.1927,0.3423,0.0574,280
2025-05-26,280,0.1826,0.3214,0.0575,280
2025-05-27,280,0.1903,0.326,0.058,280
2025-05-28,280,0.1914,0.3283,0.058,280
2025-05-29,280,0.1979,0.3424,0.0566,280
2025-05-30,280,0.1912,0.3365,0.0566,280
2025-06-03,280,0.192,0.3332,0.0569,280
2025-06-04,280,0.1952,0.3407,0.0572,280
2025-06-05,280,0.1994,0.3486,0.056,280
2025-06-06,280,0.1921,0.3399,0.0567,280
2025-06-09,280,0.1979,0.3459,0.0563,280
2025-06-10,280,0.2061,0.3648,0.057,280
2025-06-11,280,0.1891,0.3413,0.0565,280
2025-06-12,280,0.1934,0.3413,0.0562,280
2025-06-13,280,0.2066,0.3629,0.0568,280
2025-06-16,280,0.1847,0.3301,0.0558,280
2025-06-17,280,0.1909,0.3303,0.0557,280
2025-06-18,280,0.1892,0.3272,0.0553,280
2025-06-19,280,0.1956,0.3395,0.056,280
2025-06-20,280,0.1805,0.3169,0.0561,280
2025-06-23,280,0.1856,0.3179,0.0557,280
2025-06-24,280,0.2001,0.3438,0.0551,280
2025-06-25,280,0.1978,0.349,0.053,280
2025-06-26,280,0.1969,0.3481,0.0532,280
2025-06-27,280,0.1916,0.341,0.0533,280
2025-06-30,280,0.1956,0.3456,0.0546,280
2025-07-01,280,0.1978,0.3512,0.0553,280
2025-07-02,280,0.1987,0.3509,0.0569,280
2025-07-03,280,0.1909,0.3396,0.0557,280
2025-07-04,280,0.1957,0.3466,0.0548,280
2025-07-07,281,0.1867,0.3294,0.0557,281
2025-07-08,281,0.1977,0.3429,0.0552,281
2025-07-09,281,0.2001,0.3509,0.0559,281
2025-07-10,282,0.1964,0.3462,0.0552,282
2025-07-11,282,0.1994,0.3505,0.0536,282
2025-07-14,282,0.1923,0.3437,0.0552,282
2025-07-15,282,0.2027,0.3605,0.0545,282
2025-07-16,282,0.188,0.3382,0.0538,282
2025-07-17,282,0.1953,0.3382,0.0535,282
2025-07-18,282,0.197,0.3425,0.0542,282
2025-07-21,281,0.2069,0.364,0.0561,281
2025-07-22,281,0.2089,0.3693,0.0563,281
2025-07-23,281,0.2049,0.3667,0.0561,281
2025-07-24,281,0.2005,0.3601,0.0558,281
2025-07-25,281,0.2021,0.3587,0.0559,281
2025-07-28,281,0.1949,0.3497,0.0548,281
2025-07-29,281,0.1994,0.3539,0.0545,281
2025-07-30,281,0.2027,0.3597,0.0551,281
2025-07-31,281,0.1992,0.3589,0.0543,281
2025-08-01,281,0.1869,0.337,0.0542,281
2025-08-04,281,0.1887,0.3342,0.0547,281
2025-08-05,281,0.1966,0.3438,0.0549,281
2025-08-06,281,0.1977,0.3482,0.0547,281
2025-08-07,280,0.2003,0.3544,0.0551,280
2025-08-08,280,0.196,0.3516,0.0558,280
2025-08-11,281,0.2014,0.3612,0.0554,281
2025-08-12,281,0.2014,0.3585,0.055,281
2025-08-13,277,0.2057,0.3666,0.0546,277
2025-08-14,276,0.2101,0.3767,0.0548,276
2025-08-15,276,0.201,0.3618,0.0538,276
2025-08-18,276,0.2156,0.3833,0.054,276
2025-08-19,276,0.2069,0.3781,0.0543,276
2025-08-20,276,0.2079,0.3791,0.0548,276
2025-08-21,276,0.2099,0.3837,0.0548,276
